phenotype,FMratio_mean,repository
Uterine Cervical Neoplasms,244.41,dbGaP
Menopause,183.75,dbGaP
Osteoporosis,182.19,dbGaP
Cardiovascular Diseases,108.97,dbGaP
Polycystic Ovary Syndrome,104.72,dbGaP
Breast Neoplasms,103.19,dbGaP
Peripheral Nervous System Diseases,70.33,dbGaP
Heart Diseases,69.43,dbGaP
"Heart Defects, Congenital",54.92,dbGaP
Heart Conduction System,45.6,dbGaP
Asthma,27.29,dbGaP
Rett Syndrome,25.68,dbGaP
Triple Negative Breast Neoplasms,24,dbGaP
Idiopathic generalized epilepsy,22.5,dbGaP
Anorexia Nervosa,17.6,dbGaP
Cardiovascular Disease,16.22,dbGaP
Macular Degeneration,14.4,dbGaP
Takayasu Arteritis,14.11,dbGaP
HIV,11.43,dbGaP
Lynch syndrome I,10,dbGaP
Systemic Sclerosis,8.8,dbGaP
Neoplasms,8.52,dbGaP
"Fatigue Syndrome, Chronic",8,dbGaP
"Lupus Erythematosus, Systemic",7.96,dbGaP
Immunologic Memory,6,dbGaP
"Hypertension, Pulmonary",5.78,dbGaP
Dystonia,5.49,dbGaP
Adenocarcinoma of Lung,5.42,dbGaP
Leptomeningeal Carcinomatosis,5.33,dbGaP
Vaccines,5,dbGaP
Eye Diseases,4.92,dbGaP
Cataract,4.69,dbGaP
Arnold-Chiari Malformation,4.51,dbGaP
Meningioma,4.42,dbGaP
Multiple Sclerosis,4.4,dbGaP
Mycobacterium avium-intracellulare Infection,4.38,dbGaP
"Arthritis, Rheumatoid",4.32,dbGaP
Angioedema,4.32,dbGaP
Longevity,4.27,dbGaP
Gallbladder Neoplasms,4.25,dbGaP
"Adrenal Hyperplasia, Congenital",4,dbGaP
Mendelian,4,dbGaP
Mucolipidosis IV,4,dbGaP
Mucopolysaccharidosis I,4,dbGaP
RNA-Seq,4,dbGaP
Squamous Cell Carcinoma,4,dbGaP
Vesico-Ureteral Reflux,4,dbGaP
Gallbladder Cancer,3.79,dbGaP
Peritoneal Neoplasms,3.67,dbGaP
Giant Cell Arteritis,3.6,dbGaP
"Thyroid Cancer, Papillary",3.58,dbGaP
Complete atrioventricular septal defect,3.5,dbGaP
Intelligence,3.37,dbGaP
Ehlers-Danlos syndrome type 3,3.18,dbGaP
Pancreatic Neoplasms,3.16,dbGaP
Cervical Dystonia,3.12,dbGaP
N/A,3,dbGaP
Pilocytic Astrocytoma,3,dbGaP
Thrombocytopenia,3,dbGaP
Varicella Vaccine,3,dbGaP
COVID-19,2.73,dbGaP
Progressive Patient Care,2.71,dbGaP
Stunting,2.61,dbGaP
Alopecia Areata,2.51,dbGaP
Chronic Obstructive Pulmonary Disease,2.5,dbGaP
Hypertrophy,2.5,dbGaP
"Volunteers, Human",2.5,dbGaP
Inflammatory Bowel Diseases,2.26,dbGaP
"Urea Cycle Disorders, Inborn",2.23,dbGaP
Subarachnoid Hemorrhage,2.21,dbGaP
Birth Weight,2.2,dbGaP
"Hepatitis, Alcoholic",2.18,dbGaP
Moyamoya Disease,2.18,dbGaP
"Stress Disorders, Post-Traumatic",2.13,dbGaP
Sleep Wake Disorders,2.12,dbGaP
Osteosarcoma,2.1,dbGaP
"Genetics, Population",2.08,dbGaP
Metabolism,2.08,dbGaP
Gastrointestinal Neoplasms,2.05,dbGaP
Nephrolithiasis,2.04,dbGaP
Wellness Center,2.01,dbGaP
Hypertriglyceridemia,2.01,dbGaP
Chromatin,2,dbGaP
Ciliary Motility Disorders,2,dbGaP
Fertilization in Vitro,2,dbGaP
"Hyperlipidemia, Familial Combined",2,dbGaP
Melorheostosis,2,dbGaP
Microsatellite Instability,2,dbGaP
Neurofibromatosis Type I,2,dbGaP
Taste Perception,2,dbGaP
Test study for cloud access,2,dbGaP
"Depressive Disorder, Major",1.98,dbGaP
Pulmonary Arterial Hypertension,1.98,dbGaP
Apolipoprotein L1,1.98,dbGaP
Sturge-Weber Syndrome,1.92,dbGaP
Centenarian,1.9,dbGaP
Healthy Volunteers,1.88,dbGaP
"Leukemia, Plasma Cell",1.88,dbGaP
Malaria,1.87,dbGaP
Hypertension,1.86,dbGaP
Bronchiectasis,1.85,dbGaP
Intracranial Aneurysm,1.82,dbGaP
Obesity,1.81,dbGaP
Ataxia Telangiectasia,1.79,dbGaP
"Thyroid cancer, Hurthle cell",1.73,dbGaP
Diabetes Mellitus,1.72,dbGaP
Late Infantile Neuronal Ceroid Lipofuscinosis,1.68,dbGaP
"Hyperinsulinism, Congenital",1.67,dbGaP
"Adenocarcinoma, Lung",1.64,dbGaP
Clonal Evolution,1.62,dbGaP
Carpal Tunnel Syndrome,1.62,dbGaP
Marijuana Abuse,1.61,dbGaP
Lung Diseases,1.6,dbGaP
Drug Hypersensitivity Syndrome,1.6,dbGaP
Neutropenia,1.59,dbGaP
Anthropometry,1.59,dbGaP
Mitochondrial Diseases,1.56,dbGaP
Immune System Diseases,1.55,dbGaP
"Aortic Aneurysm, Abdominal",1.54,dbGaP
Tobacco Use Disorder,1.53,dbGaP
Huntington Disease,1.51,dbGaP
Apparent mineralocorticoid excess,1.5,dbGaP
Neocortex,1.5,dbGaP
Autistic Disorder,1.49,dbGaP
Vasculitis,1.49,dbGaP
Alzheimer Disease,1.46,dbGaP
Aging,1.46,dbGaP
Fuchs&#39; Endothelial Dystrophy,1.46,dbGaP
Colorectal Neoplasms,1.45,dbGaP
Cognition,1.45,dbGaP
Immune System Phenomena,1.43,dbGaP
Platelet Aggregation,1.43,dbGaP
Smoking Cessation,1.41,dbGaP
Porphyrias,1.4,dbGaP
Human Microbiome,1.4,dbGaP
Immunologic Deficiency Syndromes,1.4,dbGaP
"Diabetes Mellitus, Type 2",1.39,dbGaP
Growth,1.39,dbGaP
"Influenza, Human",1.39,dbGaP
Intestinal Neoplasms,1.39,dbGaP
Angelman Syndrome,1.39,dbGaP
Prospective,1.39,dbGaP
"Sarcoma, Soft Tissue",1.38,dbGaP
Hypercholesterolemia,1.38,dbGaP
Osteoarthritis,1.37,dbGaP
Endocrine Disruptors,1.37,dbGaP
"Genetic Diseases, Inborn",1.36,dbGaP
Acne Vulgaris,1.35,dbGaP
Insulin Resistance,1.35,dbGaP
Lipids,1.33,dbGaP
Congenital Anomalies Of Kidney And Urinary Tract,1.32,dbGaP
"Cardiomyopathy, Dilated",1.32,dbGaP
"Glomerulosclerosis, Focal Segmental",1.32,dbGaP
Drug-Induced Liver Injury,1.32,dbGaP
Charcot-Marie-Tooth Disease,1.31,dbGaP
Neurofibromatosis 1,1.3,dbGaP
Small Cell Lung Carcinoma,1.29,dbGaP
Language Development,1.29,dbGaP
Cerebral infarction,1.29,dbGaP
Atherosclerosis,1.29,dbGaP
Gastrointestinal Stromal Tumors,1.29,dbGaP
Paraganglioma,1.29,dbGaP
,1.28,dbGaP
Inflammatory Bowel Disease,1.28,dbGaP
Essential Tremor,1.28,dbGaP
"Niemann-Pick Disease, Type C",1.28,dbGaP
Sex,1.28,dbGaP
Skin Pigmentation,1.27,dbGaP
"Disease, Hirschsprung",1.26,dbGaP
Respiration Disorders,1.26,dbGaP
Protein-Losing Enteropathies,1.25,dbGaP
Holoprosencephaly,1.25,dbGaP
Lung Neoplasms,1.25,dbGaP
Smell,1.24,dbGaP
Exercise,1.24,dbGaP
Respiratory Tract Infections,1.24,dbGaP
Coronary Disease,1.22,dbGaP
Sleep Apnea Syndromes,1.22,dbGaP
Breast Feeding,1.22,dbGaP
Fabry Disease,1.22,dbGaP
"Colorectal Neoplasms, Hereditary Nonpolyposis",1.22,dbGaP
Microcephaly,1.21,dbGaP
pancreatic cancer,1.21,dbGaP
Thromboembolism,1.2,dbGaP
"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",1.2,dbGaP
Head and Neck Neoplasms,1.2,dbGaP
Intracranial Arteriovenous Malformations,1.19,dbGaP
Retinoblastoma,1.19,dbGaP
Spinocerebellar Ataxias,1.19,dbGaP
Connectome,1.18,dbGaP
Sarcoma,1.18,dbGaP
Primary ciliary dyskinesia,1.18,dbGaP
Uveal melanoma,1.17,dbGaP
Malignant Hyperthermia,1.17,dbGaP
Polyarteritis Nodosa,1.17,dbGaP
Anxiety,1.16,dbGaP
Diabetic Nephropathies,1.16,dbGaP
Respiratory Syncytial Virus Infections,1.15,dbGaP
Cerebral Cortex,1.15,dbGaP
Hutchinson-Gilford Progeria Syndrome,1.15,dbGaP
Esophageal Neoplasm,1.15,dbGaP
Influenza Vaccines,1.15,dbGaP
Acute Megakaryoblastic Leukemia,1.14,dbGaP
Pleuropulmonary blastoma [Supplementary Concept],1.14,dbGaP
"Glaucoma, Open-Angle",1.14,dbGaP
Heart Disease,1.14,dbGaP
Mortality,1.13,dbGaP
X Chromosome Inactivation,1.13,dbGaP
Cell Line,1.13,dbGaP
Immunocompromised Host,1.12,dbGaP
"Leukoplakia, Oral",1.12,dbGaP
Control Groups,1.12,dbGaP
Metabolomics,1.11,dbGaP
Stomach Neoplasms,1.11,dbGaP
Tacrolimus,1.09,dbGaP
Epilepsy,1.09,dbGaP
Cardiomyopathies,1.08,dbGaP
"Arthritis, Psoriatic",1.08,dbGaP
Population Groups,1.08,dbGaP
Temporomandibular Joint Disorders,1.08,dbGaP
Neoplasm,1.07,dbGaP
Amyotrophic Lateral Sclerosis,1.07,dbGaP
Mental Processes,1.07,dbGaP
Premature Infant,1.06,dbGaP
Cerebrovascular Disorders,1.06,dbGaP
Venous Thrombosis,1.06,dbGaP
Pulmonary Alveolar Proteinosis,1.06,dbGaP
"Anemia, Sickle Cell",1.05,dbGaP
Depression,1.04,dbGaP
Child Health,1.03,dbGaP
