"dataset_id"	"male"	"female"	"unknown"	"total"	"date_study"	"repository"	"year"	"total_all"	"label"	"c"
"1"	"EGAS00001001585"	0	0	72	72	1980-01-01	"EGA"	"1980"	26	"U"	1
"2"	"EGAS00000000092"	0	0	284	284	1980-01-01	"EGA"	"1980"	26	"U"	1
"3"	"EGAS00001001540"	0	0	381	381	1980-01-01	"EGA"	"1980"	26	"U"	1
"4"	"EGAS00001001487"	0	0	208	208	1980-01-01	"EGA"	"1980"	26	"U"	1
"5"	"EGAS00000000029"	0	0	11	11	1980-01-01	"EGA"	"1980"	26	"U"	1
"6"	"EGAS00001001539"	0	0	4	4	1980-01-01	"EGA"	"1980"	26	"U"	1
"7"	"EGAS00001001591"	0	0	6	6	1980-01-01	"EGA"	"1980"	26	"U"	1
"8"	"EGAS00001001520"	0	0	22	22	1980-01-01	"EGA"	"1980"	26	"U"	1
"9"	"EGAS00000000122"	0	0	1	1	1980-01-01	"EGA"	"1980"	26	"U"	1
"10"	"EGAS00001000001"	0	0	8	8	2010-09-03	"EGA"	"2010"	14	"U"	1
"11"	"EGAS00001000002"	0	0	288	288	2010-09-08	"EGA"	"2010"	14	"U"	1
"12"	"EGAS00001000003"	0	0	28	28	2010-09-15	"EGA"	"2010"	14	"U"	1
"13"	"EGAS00001000004"	0	0	327	327	2010-10-13	"EGA"	"2010"	14	"U"	1
"14"	"EGAS00001000005"	0	0	68	68	2010-10-15	"EGA"	"2010"	14	"U"	1
"15"	"EGAS00001000006"	0	0	126	126	2010-10-28	"EGA"	"2010"	14	"U"	1
"16"	"EGAS00001000008"	0	0	7	7	2010-11-04	"EGA"	"2010"	14	"U"	1
"17"	"EGAS00001000009"	0	0	11	11	2010-11-10	"EGA"	"2010"	14	"U"	1
"18"	"EGAS00001000011"	0	0	143	143	2010-11-17	"EGA"	"2010"	14	"U"	1
"19"	"EGAS00001000012"	0	0	25	25	2010-11-17	"EGA"	"2010"	14	"U"	1
"20"	"EGAS00001000013"	0	0	55	55	2010-11-17	"EGA"	"2010"	14	"U"	1
"21"	"EGAS00001000014"	0	0	158	158	2010-11-17	"EGA"	"2010"	14	"U"	1
"22"	"EGAS00001000016"	0	0	7	7	2010-11-17	"EGA"	"2010"	14	"U"	1
"23"	"EGAS00001000017"	0	0	89	89	2010-11-26	"EGA"	"2010"	14	"U"	1
"24"	"EGAS00001000020"	0	0	458	458	2011-01-04	"EGA"	"2011"	149	"U"	1
"25"	"EGAS00001000023"	0	0	3	3	2011-01-11	"EGA"	"2011"	149	"U"	1
"26"	"EGAS00001000024"	0	0	6	6	2011-01-11	"EGA"	"2011"	149	"U"	1
"27"	"EGAS00001000025"	0	0	64	64	2011-01-12	"EGA"	"2011"	149	"U"	1
"28"	"EGAS00001000026"	0	0	4	4	2011-01-12	"EGA"	"2011"	149	"U"	1
"29"	"EGAS00001000027"	0	0	50	50	2011-01-17	"EGA"	"2011"	149	"U"	1
"30"	"EGAS00001000028"	0	0	119	119	2011-01-17	"EGA"	"2011"	149	"U"	1
"31"	"EGAS00001000030"	0	0	14	14	2011-02-02	"EGA"	"2011"	149	"U"	1
"32"	"EGAS00001000031"	0	0	240	240	2011-02-07	"EGA"	"2011"	149	"U"	1
"33"	"EGAS00001000032"	0	0	20	20	2011-02-07	"EGA"	"2011"	149	"U"	1
"34"	"EGAS00001000033"	0	0	6	6	2011-02-14	"EGA"	"2011"	149	"U"	1
"35"	"EGAS00001000034"	0	0	11	11	2011-02-14	"EGA"	"2011"	149	"U"	1
"36"	"EGAS00001000035"	0	0	4	4	2011-02-18	"EGA"	"2011"	149	"U"	1
"37"	"EGAS00001000036"	0	0	328	328	2011-03-01	"EGA"	"2011"	149	"U"	1
"38"	"EGAS00001000037"	0	0	52	52	2011-03-03	"EGA"	"2011"	149	"U"	1
"39"	"EGAS00001000038"	0	0	125	125	2011-03-15	"EGA"	"2011"	149	"U"	1
"40"	"EGAS00001000040"	0	0	84	84	2011-03-17	"EGA"	"2011"	149	"U"	1
"41"	"EGAS00001000041"	0	0	3	3	2011-03-17	"EGA"	"2011"	149	"U"	1
"42"	"EGAS00001000042"	0	0	200	200	2011-03-18	"EGA"	"2011"	149	"U"	1
"43"	"EGAS00001000043"	0	0	12	12	2011-03-22	"EGA"	"2011"	149	"U"	1
"44"	"EGAS00001000046"	0	0	10	10	2011-04-01	"EGA"	"2011"	149	"U"	1
"45"	"EGAS00001000047"	0	0	25	25	2011-04-01	"EGA"	"2011"	149	"U"	1
"46"	"EGAS00001000048"	0	0	424	424	2011-04-01	"EGA"	"2011"	149	"U"	1
"47"	"EGAS00001000049"	0	0	20	20	2011-04-04	"EGA"	"2011"	149	"U"	1
"48"	"EGAS00001000050"	0	0	47	47	2011-04-04	"EGA"	"2011"	149	"U"	1
"49"	"EGAS00001000052"	0	0	18	18	2011-04-05	"EGA"	"2011"	149	"U"	1
"50"	"EGAS00001000053"	0	0	5	5	2011-04-05	"EGA"	"2011"	149	"U"	1
"51"	"EGAS00001000054"	0	0	5	5	2011-04-05	"EGA"	"2011"	149	"U"	1
"52"	"EGAS00001000055"	0	0	20	20	2011-04-05	"EGA"	"2011"	149	"U"	1
"53"	"EGAS00001000058"	0	0	123	123	2011-04-13	"EGA"	"2011"	149	"U"	1
"54"	"EGAS00001000059"	0	0	611	611	2011-04-14	"EGA"	"2011"	149	"U"	1
"55"	"EGAS00001000060"	0	0	8	8	2011-04-21	"EGA"	"2011"	149	"U"	1
"56"	"EGAS00001000061"	0	0	6	6	2011-05-04	"EGA"	"2011"	149	"U"	1
"57"	"EGAS00001000062"	0	0	71	71	2011-05-06	"EGA"	"2011"	149	"U"	1
"58"	"EGAS00001000063"	0	0	20	20	2011-05-06	"EGA"	"2011"	149	"U"	1
"59"	"EGAS00001000064"	0	0	66	66	2011-05-13	"EGA"	"2011"	149	"U"	1
"60"	"EGAS00001000066"	0	0	24	24	2011-05-18	"EGA"	"2011"	149	"U"	1
"61"	"EGAS00001000067"	0	0	250	250	2011-05-19	"EGA"	"2011"	149	"U"	1
"62"	"EGAS00001000068"	0	0	400	400	2011-05-23	"EGA"	"2011"	149	"U"	1
"63"	"EGAS00001000069"	0	0	4	4	2011-05-27	"EGA"	"2011"	149	"U"	1
"64"	"EGAS00001000071"	0	0	90	90	2011-06-08	"EGA"	"2011"	149	"U"	1
"65"	"EGAS00001000074"	0	0	116	116	2011-06-17	"EGA"	"2011"	149	"U"	1
"66"	"EGAS00001000075"	0	0	26	26	2011-06-17	"EGA"	"2011"	149	"U"	1
"67"	"EGAS00001000076"	0	0	21	21	2011-06-17	"EGA"	"2011"	149	"U"	1
"68"	"EGAS00001000077"	0	0	137	137	2011-06-23	"EGA"	"2011"	149	"U"	1
"69"	"EGAS00001000078"	0	0	76	76	2011-06-23	"EGA"	"2011"	149	"U"	1
"70"	"EGAS00001000079"	0	0	8	8	2011-06-24	"EGA"	"2011"	149	"U"	1
"71"	"EGAS00001000080"	0	0	24	24	2011-06-24	"EGA"	"2011"	149	"U"	1
"72"	"EGAS00001000081"	0	0	48	48	2011-06-24	"EGA"	"2011"	149	"U"	1
"73"	"EGAS00001000082"	0	0	16	16	2011-06-24	"EGA"	"2011"	149	"U"	1
"74"	"EGAS00001000085"	0	0	496	496	2011-06-30	"EGA"	"2011"	149	"U"	1
"75"	"EGAS00001000086"	0	0	130	130	2011-06-30	"EGA"	"2011"	149	"U"	1
"76"	"EGAS00001000087"	0	0	220	220	2011-07-01	"EGA"	"2011"	149	"U"	1
"77"	"EGAS00001000088"	0	0	4	4	2011-07-05	"EGA"	"2011"	149	"U"	1
"78"	"EGAS00001000089"	0	0	949	949	2011-07-05	"EGA"	"2011"	149	"U"	1
"79"	"EGAS00001000090"	0	0	4987	4987	2011-07-13	"EGA"	"2011"	149	"U"	1
"80"	"EGAS00001000091"	0	0	5	5	2011-07-14	"EGA"	"2011"	149	"U"	1
"81"	"EGAS00001000092"	0	0	279	279	2011-07-20	"EGA"	"2011"	149	"U"	1
"82"	"EGAS00001000093"	0	0	29	29	2011-07-21	"EGA"	"2011"	149	"U"	1
"83"	"EGAS00001000094"	0	0	186	186	2011-07-27	"EGA"	"2011"	149	"U"	1
"84"	"EGAS00001000095"	0	0	637	637	2011-08-04	"EGA"	"2011"	149	"U"	1
