study_id,year,ym,male,female,unknown,total
phs000001.v3.p1,2012,2012.08333333333,3002,3954,1001,7957
phs000007.v32.p13,2020,2020.91666666667,23738,28003,7813,59554
phs000016.v2.p2,2009,2009.83333333333,1718,1040,11,2769
phs000017.v3.p1,,,1505,1756,0,3261
phs000020.v2.p1,,,1291,2449,1,3741
phs000021.v3.p2,2010,2010.75,2786,2278,0,5064
phs000048.v1.p1,,,872,678,0,1550
phs000086.v3.p1,2014,2014.83333333333,758,689,85,1532
phs000089.v3.p2,2010,2010.25,896,845,0,1741
phs000090.v1.p1,2009,2009.91666666667,5995,7254,0,13249
phs000091.v2.p1,2009,2009.58333333333,2663,3425,36,6124
phs000092.v1.p1,,,3898,4587,130,8615
phs000093.v2.p2,2009,2009.75,8241,3096,32,11369
phs000094.v1.p1,2010,2010.25,7880,7254,874,16008
phs000095.v4.p2,2021,2021.66666666667,2013,2399,1380,5792
phs000096.v4.p1,2011,2011.83333333333,2287,7052,5988,15327
phs000101.v5.p1,2018,2018.58333333333,8696,6694,135,15525
phs000102.v1.p1,,,248,237,0,485
phs000126.v2.p1,2016,2016.58333333333,1054,1028,109,2191
phs000127.v2.p1,2010,2010.66666666667,231,201,0,432
phs000128.v3.p3,2016,2016.25,3222,3874,10300,17396
phs000138.v2.p1,2010,2010.41666666667,33,1557,1495,3085
phs000140.v1.p1,2010,2010.83333333333,892,1250,0,2142
phs000142.v1.p1,2009,2009.5,635,2489,1445,4569
phs000144.v1.p1,,,330,432,6,768
phs000147.v3.p1,2015,2015.33333333333,0,2723,0,2723
phs000166.v2.p1,2009,2009.66666666667,2164,1882,604,4650
phs000167.v1.p1,2009,2009.25,1835,1226,0,3061
phs000168.v2.p2,2012,2012.58333333333,2110,3462,4163,9735
phs000170.v2.p1,2015,2015.08333333333,1681,2367,7072,11120
phs000180.v3.p2,2015,2015.33333333333,2196,1930,31,4157
phs000181.v1.p1,2009,2009.91666666667,3419,3665,3886,10970
phs000185.v7.p1,2020,2020.25,512,801,319,1632
phs000187.v1.p1,2010,2010.25,1920,1391,100,3411
phs000188.v1.p1,2010,2010.75,1283,1920,0,3203
phs000196.v3.p1,2015,2015.16666666667,2259,2012,0,4271
phs000199.v1.p1,2010,2010,922,1104,0,2026
phs000200.v9.p3,2013,2013.83333333333,0,51395,6605,58000
phs000202.v1.p1,2010,2010,0,297,0,297
phs000203.v1.p1,2010,2010.75,2123,1309,45,3477
phs000206.v5.p3,2015,2015.58333333333,4940,4762,0,9702
phs000207.v1.p1,2009,2009.91666666667,2300,0,0,2300
phs000209.v13.p3,2014,2014.83333333333,11235,12687,1392,25314
phs000211.v1.p1,2009,2009.66666666667,167,233,0,400
phs000219.v1.p1,2010,2010,619,969,130,1718
phs000223.v1.p1,2012,2012.16666666667,1298,2127,318,3743
phs000224.v3.p2,2019,2019.75,1008,1930,0,2938
phs000238.v1.p1,2013,2013.83333333333,2477,2933,6,5416
phs000239.v2.p1,2010,2010.5,4,12,0,16
phs000240.v1.p1,2011,2011.58333333333,500,631,6,1137
phs000244.v1.p1,2010,2010.5,5,3,0,8
