participant	bh21_participant	pronouns	age	country	continent	profession	profession_summary	user_type	work_experience	question3	question5
1	Yes	She/her	25-34	Spain	Europe	Researcher	Researcher		< 1	N/A	Mandatory
2	No	He/him	35-44	Germany	Europe	Project Manager	Project manager	Developer, Curator, Creator	1-5	N/A	I don´t know
3	Yes	Prefer not to say.	25-34	N/A	N/A	N/A	N/A	Consumer, Developer, Creator	1-5	No	Not Mandatory
4	Yes	He/him	45-54	Spain	Europe	Bioinformatician	Researcher	Consumer, Developer	>15	N/A	Due ethical aspects, although it should be gathered it should be protected by default
5	Yes	Prefer not to say.	25-34	Spain	Europe	N/A	N/A	Curator	6-10	Yes	Mandatory
6	No	Prefer not to say.	35-44	United Kingdom	Europe	Bioinformatician	Researcher	Consumer, Developer	>15	Yes	Mandatory
7	Yes	She/her	25-34	Spain	Europe	Technician	Technician	Curator	1-5	Yes	Mandatory
8	Yes	He/him	35-44	Spain	Europe	Researcher	Researcher	Developer	11-15	Yes	Mandatory
9	Yes	She/her	25-34	Spain	Europe	N/A	N/A	Consumer	6-10	N/A	Mandatory
10	No	He/him	25-34	Spain	Europe	N/A	N/A	Developer	1-5	No	Mandatory
11	Yes	She/her	35-44	United Kingdom	Europe	Researcher / Team Lead	Researcher	Consumer, Developer, Curator	>15	No	Mandatory
12	Yes	He/him	45-54	Netherlands	Europe	Researcher	Researcher	Consumer, Developer, Creator	>15	Yes	Not Mandatory
13	Yes	He/him	35-44	France	Europe	Research Engineer	Researcher	Developer	>15	N/A	think it's useful and should be promoted, but is it always OK re. GDPR?
14	Yes	He/him	35-44	Belgium	Europe	Software Engineer	Software Engineer	Developer	6-10	No	Mandatory
15	Yes	He/him	35-44	Greece	Europe	Researcher	Researcher	Developer, Creator	11-15	Yes	Mandatory
16	Yes	He/him	35-44	Switzerland	Europe	Computer Scientist	Researcher	Consumer, Developer, Curator, Creator	>15	Yes	Mandatory
17	Yes	He/him	35-44	Italy	Europe	Technical coordinator	Technical coordinator	Developer, Curator, Creator	1-5	No	Mandatory
18	Yes	He/him	25-34	Belgium	Europe	N/A	N/A	Consumer	6-10	N/A	Not Mandatory
19	Yes	He/him	45-54	United Kingdom	Europe	scientist	Researcher	Consumer, Curator, Creator	>15	N/A	depends if it is relevant and appropriate 
