,n,male,female,unknown,date,filename,dataset_id
8,139.0,66,73,0.0,2019/08/18,./data/phs001201.v2.pht008325.v1.p1.RSVClinicalVariablesSeverity.var_report.xml,pht008325.v1
10,13530.0,6120,7410,0.0,2020/06/18,./data/phs000280.v7.pht004092.v2.p1.FTRB02.var_report.xml,pht004092.v2
11,63.0,0,0,63.0,2020/02/13,./data/phs000960.v2.pht004841.v1.p1.Biliary_Atresia_Subject.var_report.xml,pht004841.v1
12,6443.0,2943,3500,0.0,04/29/2016,./data/phs000128.v3.pht000598.v2.p3.simphen199.var_report.xml,pht000598.v2
13,1006.0,514,480,12.0,2020/04/30,./data/phs001517.v2.pht007483.v2.p2.GHIRD_Sample_Attributes.var_report.xml,pht007483.v2
16,2885.0,664,560,1661.0,01/19/2010,./data/phs000219.v1.pht001065.v1.p1.d_csa02.var_report_2010_01_19.xml,pht001065.v1
17,62.0,26,36,0.0,2020/03/19,./data/phs001982.v1.pht010003.v1.p1.MFS_UPS_Subject.var_report.xml,pht010003.v1
18,99.0,0,0,99.0,03/07/2016,./data/phs001083.v1.pht005324.v1.p1.SCLC_Chinese_Sample.var_report.xml,pht005324.v1
21,219.0,123,96,0.0,2020/03/02,./data/phs001900.v1.pht009630.v1.p1.ASD_SCZ_Development_Subject.var_report.xml,pht009630.v1
22,1142.0,523,619,0.0,2018/02/27,./data/phs001364.v1.pht007465.v1.p1.HCP_Young_Adults_Sample.var_report.xml,pht007465.v1
23,388.0,187,201,0.0,05/31/2017,./data/phs001030.v1.pht005090.v1.p1.Viral_Respiratory_Pathogens_Genetics_Subject.var_report.xml,pht005090.v1
25,2.0,2,0,0.0,2020/11/03,./data/phs002279.v1.pht010631.v1.p1.GIMs_Spermatids_Subject_Phenotypes.var_report.xml,pht010631.v1
26,50.0,36,14,0.0,2018/05/22,./data/phs001595.v1.pht007995.v1.p1.study6103_DS.var_report.xml,pht007995.v1
31,58.0,29,29,0.0,12/12/2014,./data/phs000699.v1.pht004384.v1.p1.Osteosarcoma_Genomics_Subject_Phenotypes.var_report.xml,pht004384.v1
32,6443.0,2943,3500,0.0,04/29/2016,./data/phs000128.v3.pht000487.v2.p3.simphen088.var_report.xml,pht000487.v2
34,1271.0,653,618,0.0,2021/07/15,./data/phs001600.v2.pht011021.v2.p2.TOPMed_CCDG_CATHGEN_Subject_Phenotypes.var_report.xml,pht011021.v2
35,17537.0,4,3,17530.0,2020/06/18,./data/phs000280.v7.pht009464.v2.p1.CCHIPS16.var_report.xml,pht009464.v2
40,609.0,296,313,0.0,05/24/2016,./data/phs001065.v1.pht005427.v1.p1.randomized.var_report.xml,pht005427.v1
43,287.0,101,88,98.0,2020/08/26,./data/phs001831.v1.pht009169.v1.p1.Neuroblastoma_Epigenetics_Sample_Attributes.var_report.xml,pht009169.v1
46,94.0,94,0,0.0,01/15/2016,./data/phs000909.v1.pht004874.v1.p1.NEPC_Subject.var_report.xml,pht004874.v1
50,916.0,0,0,916.0,09/08/2016,./data/phs000893.v1.pht005504.v1.p1.Endometrial_Cancer_E2C2_Sample_Attributes.var_report.xml,pht005504.v1
51,5.0,1,4,0.0,2018/04/16,./data/phs000862.v1.pht007835.v1.p1.SubjectPhenotypes.var_report.xml,pht007835.v1
56,14653.0,6653,8000,0.0,2020/06/18,./data/phs000280.v7.pht004041.v2.p1.BPU01.var_report.xml,pht004041.v2
57,3328.0,1344,1871,113.0,02/08/2016,./data/phs000949.v1.pht005224.v1.p1.CIDR_Facial_Variation_Sample.var_report.xml,pht005224.v1
60,20.0,13,7,0.0,2017/08/31,./data/phs000939.v2.pht004789.v2.p1.Lymphoma_Oncogene_Dysregulation_Subject_Phenotypes.var_report.xml,pht004789.v2
61,13.0,7,6,0.0,2021/07/07,./data/phs002436.v1.pht011375.v1.p1.TIL_Infusion_Subject.var_report.xml,pht011375.v1
63,3.0,3,0,0.0,2020/09/18,./data/phs002217.v1.pht010533.v1.p1.MELAS_Subject.var_report.xml,pht010533.v1
64,3.0,2,1,0.0,2021/03/17,./data/phs002364.v1.pht011041.v1.p1.HIV_cART_Sample.var_report.xml,pht011041.v1
65,9027.0,4331,4696,0.0,04/17/2017,./data/phs001157.v1.pht005805.v1.p1.WLS_Aging_Subject_Phenotypes.var_report.xml,pht005805.v1
66,732.0,0,732,0.0,05/05/2015,./data/phs000517.v3.pht002915.v2.p1.Multiethnic_Cohort_Study_Subject_Phenotypes.var_report.xml,pht002915.v2
67,638.0,387,207,44.0,12/03/2013,./data/phs000551.v1.pht003063.v1.p1.CATHGEN_Subject_Phenotypes.var_report.xml,pht003063.v1
68,53.0,6,11,36.0,2019/10/08,./data/phs001911.v1.pht009519.v1.p1.RADseq_Subject_Phenotypes.var_report.xml,pht009519.v1
69,89.0,0,0,89.0,2020/01/07,./data/phs001953.v1.pht009771.v1.p1.UM_AEB071_Subject.var_report.xml,pht009771.v1
70,6443.0,2943,3500,0.0,04/29/2016,./data/phs000128.v3.pht000491.v2.p3.simphen092.var_report.xml,pht000491.v2
73,11.0,5,6,0.0,2017/12/08,./data/phs001279.v1.pht007213.v1.p1.medical_history.var_report.xml,pht007213.v1
76,93.0,31,22,40.0,12/20/2016,./data/phs000768.v2.pht004477.v2.p1.Pediatric_Ewing_Sarcoma_Subject.var_report.xml,pht004477.v2
78,857.0,0,0,857.0,10/27/2014,./data/phs000812.v1.pht004300.v1.p1.Prostate_Subject_Phenotypes.var_report.xml,pht004300.v1
79,10.0,5,5,0.0,2021/03/22,./data/phs002188.v1.pht011031.v1.p1.Lymphoma_Subject.var_report.xml,pht011031.v1
80,385.0,2,207,176.0,2019/11/22,./data/phs001325.v3.pht006350.v1.p1.iPSCORE_WGS_Pedigree.var_report.xml,pht006350.v1
86,80.0,30,50,0.0,09/10/2013,./data/phs000601.v1.pht003514.v1.p1.Heritable_Breast_Cancer_Pedigree.var_report.xml,pht003514.v1
87,957.0,722,69,166.0,2019/12/16,./data/phs001932.v1.pht009657.v1.p1.MGS_European_Sample_Attributes.var_report.xml,pht009657.v1
88,2936.0,12,3,2921.0,2021/10/06,./data/phs002276.v1.pht011555.v1.p1.GMKF_T_ALL_Sample.var_report.xml,pht011555.v1
89,4.0,3,1,0.0,2021/08/20,./data/phs002557.v1.pht011479.v1.p1.PID_LRBA_Subject.var_report.xml,pht011479.v1
90,276.0,72,85,119.0,07/09/2015,./data/phs000564.v2.pht003057.v2.p1.WGS_NICU_Pedigree.var_report.xml,pht003057.v2
91,6.0,5,1,0.0,2021/07/14,./data/phs001546.v2.pht009975.v1.p1.TOPMed_WGS_DECAF_Sample_Attributes.var_report.xml,pht009975.v1
93,30.0,3,11,16.0,2020/05/06,./data/phs002023.v1.pht010198.v1.p1.CRPM_Sample_Attributes.var_report.xml,pht010198.v1
95,518.0,187,201,130.0,05/31/2017,./data/phs001030.v1.pht005091.v1.p1.Viral_Respiratory_Pathogens_Genetics_Sample.var_report.xml,pht005091.v1
96,4474.0,1298,1737,1439.0,03/26/2015,./data/phs000761.v1.pht004497.v1.p1.OPPERA_Sample.var_report.xml,pht004497.v1
98,900.0,312,588,0.0,03/29/2017,./data/phs001191.v1.pht006225.v1.p1.eMERGE_NUgene_WGS_Sample.var_report.xml,pht006225.v1
101,667.0,352,315,0.0,06/19/2017,./data/phs001381.v1.pht006567.v1.p1.Gut_Microbiome_Colorectal_Polyps_Sample.var_report.xml,pht006567.v1
102,625.0,278,347,0.0,2019/04/10,./data/phs001653.v1.pht008704.v1.p1.Holoprosencephaly_Sample.var_report.xml,pht008704.v1
104,640.0,289,351,0.0,2021/09/29,./data/phs001608.v2.pht009736.v1.p1.TOPMed_WGS_OMG_SCD_Sample_Attributes.var_report.xml,pht009736.v1
107,5499.0,6,8,5485.0,2020/06/18,./data/phs000280.v7.pht006482.v1.p1.SMF.var_report.xml,pht006482.v1
108,1573.0,749,821,3.0,2018/05/14,./data/phs001396.v1.pht006738.v1.p1.Pigmentation_Eastern_Southern_African_Sample_Attributes.var_report.xml,pht006738.v1
109,1441.0,761,680,0.0,11/04/2014,./data/phs000086.v3.pht000233.v1.p1.DCCT_master.var_report.xml,pht000233.v1
110,3306.0,1880,1378,48.0,07/23/2014,./data/phs000703.v1.pht003669.v1.p1.6a_dbGaP_CATHGEN_Cohort_Sample.var_report.xml,pht003669.v1
115,1090.0,1090,0,0.0,2020/06/18,./data/phs000280.v7.pht004169.v2.p1.RTABM25.var_report.xml,pht004169.v2
119,13203.0,6,7219,5978.0,2020/06/18,./data/phs000280.v7.pht004213.v2.p1.UBME4.var_report.xml,pht004213.v2
120,669.0,0,0,669.0,2020/10/29,./data/phs002258.v1.pht010605.v1.p1.SARS_CoV2_LAMP_RNASeq_Subject.var_report.xml,pht010605.v1
121,323.0,169,154,0.0,2019/07/25,./data/phs001045.v1.pht009262.v1.p1.MECC_Ashkenazi_Sample_Attributes.var_report.xml,pht009262.v1
122,859.0,497,362,0.0,07/18/2014,./data/phs000775.v1.pht003943.v1.p1.Molecular_Genetics_Schizophrenia_Subject.var_report.xml,pht003943.v1
123,16.0,0,0,16.0,01/06/2015,./data/phs000811.v1.pht004401.v1.p1.Targeted_DNA_NGS_Sample_Attributes.var_report.xml,pht004401.v1
126,17.0,8,9,0.0,01/02/2013,./data/phs000568.v1.pht003112.v1.p1.Solitary_Fibrous_Tumors_SIGMA_Subject_Phenotypes.var_report.xml,pht003112.v1
127,968.0,458,510,0.0,11/14/2016,./data/phs000741.v2.pht003918.v2.p1.GOLDN_Lipid_Lowering_Subject_Phenotypes.var_report.xml,pht003918.v2
129,142.0,0,0,142.0,04/11/2017,./data/phs000897.v1.pht004640.v1.p1.Early_Stage_Ovarian_Cancer_Sample_Attributes.var_report.xml,pht004640.v1
131,720.0,392,323,5.0,2021/07/30,./data/phs002444.v1.pht011386.v1.p1.Osteosarcoma_Sample_Attributes.var_report.xml,pht011386.v1
136,46.0,5,2,39.0,2019/03/28,./data/phs001797.v1.pht008890.v1.p1.mUC_Sample.var_report.xml,pht008890.v1
138,29.0,0,0,29.0,12/16/2013,./data/phs000633.v1.pht003623.v1.p1.Lung_Microbiome_Inflammation_Subject.var_report.xml,pht003623.v1
141,8.0,0,0,8.0,2017/10/19,./data/phs001463.v1.pht007058.v1.p1.Differential_Transcription_Brain_Sample_Attributes.var_report.xml,pht007058.v1
142,6443.0,2943,3500,0.0,04/29/2016,./data/phs000128.v3.pht000551.v2.p3.simphen152.var_report.xml,pht000551.v2
145,525.0,0,525,0.0,05/13/2014,./data/phs000678.v1.pht003565.v1.p1.Young_Onset_Breast_Cancer_Subject_Phenotypes.var_report.xml,pht003565.v1
146,440.0,105,335,0.0,2021/05/17,./data/phs001134.v1.pht011224.v1.p1.Chernobyl_PTC_Subject.var_report.xml,pht011224.v1
147,39.0,21,18,0.0,2018/12/11,./data/phs001750.v1.pht008586.v1.p1.sc_Pulmonary_Fibrosis_Subject.var_report.xml,pht008586.v1
148,226.0,5,20,201.0,2021/05/28,./data/phs002259.v1.pht011026.v1.p1.CD4T_European_Sample_Attributes.var_report.xml,pht011026.v1
149,6443.0,2943,3500,0.0,04/29/2016,./data/phs000128.v3.pht000470.v2.p3.simphen071.var_report.xml,pht000470.v2
150,784.0,607,91,86.0,01/20/2016,./data/phs000902.v1.pht004670.v1.p1.MIGen_Regicor_Subject_Phenotypes.var_report.xml,pht004670.v1
159,29.0,23,3,3.0,2019/03/28,./data/phs001743.v1.pht008921.v1.p1.Urothelial_Cancer_Subject.var_report.xml,pht008921.v1
160,9323.0,0,9323,0.0,2017/08/25,./data/phs001321.v1.pht006197.v1.p1.OncoArray_CIMBA_Subject_Phenotypes.var_report.xml,pht006197.v1
161,680.0,680,0,0.0,2018/12/10,./data/phs001621.v1.pht008154.v1.p1.Platinum_Study_Subject_Phenotypes.var_report.xml,pht008154.v1
162,525.0,525,0,0.0,2019/10/30,./data/phs001921.v1.pht009586.v1.p1.DNA_Methylation_PC_Subject_Phenotypes.var_report.xml,pht009586.v1
163,105.0,15,13,77.0,08/26/2013,./data/phs000656.v1.pht003481.v1.p1.Influenza_Vaccination_B_cell_Recall_Sample.var_report.xml,pht003481.v1
164,642.0,290,352,0.0,2021/09/29,./data/phs001608.v2.pht009735.v1.p1.TOPMed_WGS_OMG_SCD_Subject_Phenotypes.var_report.xml,pht009735.v1
166,813.0,500,84,229.0,2021/09/14,./data/phs002410.v1.pht011552.v1.p1.FHIR_Test_BETA_Subject.var_report.xml,pht011552.v1
167,14880.0,6758,8122,0.0,2020/06/18,./data/phs000280.v7.pht004080.v2.p1.ERHA.var_report.xml,pht004080.v2
169,603.0,292,311,0.0,2019/07/31,./data/phs001872.v1.pht009364.v1.p1.CEPH_Utah_Pedigree.var_report.xml,pht009364.v1
171,641.0,299,342,0.0,12/17/2013,./data/phs000662.v1.pht003561.v1.p1.NCS_AIM_Sample_Attributes.var_report.xml,pht003561.v1
173,4929.0,2050,2878,1.0,02/05/2016,./data/phs000944.v1.pht004846.v1.p1.eMERGE_PhaseIII_Partners_Biobank_Subject_Phenotypes.var_report.xml,pht004846.v1
174,5931.0,983,933,4015.0,2020/10/27,./data/phs001616.v2.pht008539.v2.p2.eMERGEseq_Subject.var_report.xml,pht008539.v2
175,10.0,0,1,9.0,01/05/2016,./data/phs001028.v1.pht005131.v1.p1.Circulating_Tumor_Cells_MBC_Sample_Attributes.var_report.xml,pht005131.v1
176,1518.0,0,0,1518.0,2021/05/18,./data/phs002385.v1.pht011244.v1.p1.CIBMTR_HCTforSCD_Sample.var_report.xml,pht011244.v1
178,54.0,0,0,54.0,2021/09/14,./data/phs002545.v1.pht011556.v1.p1.MSS_CRC_PDAC_GEO.var_report.xml,pht011556.v1
179,88.0,51,37,0.0,2019/07/26,./data/phs001852.v1.pht009278.v1.p1.Height_Jewish_Subject_Phenotypes.var_report.xml,pht009278.v1
182,4.0,2,2,0.0,10/05/2015,./data/phs000969.v1.pht004931.v1.p1.Sensorineural_Hearing_Loss_Subject_Phenotypes.var_report.xml,pht004931.v1
189,4002.0,928,896,2178.0,2020/07/20,./data/phs002025.v1.pht010238.v1.p1.TB_3q23_Peruvians_Sample_Attributes.var_report.xml,pht010238.v1
191,8.0,5,3,0.0,2021/02/11,./data/phs001711.v1.pht008529.v1.p1.GI_Carcinomas_Subject_Phenotypes.var_report.xml,pht008529.v1
