study	Last modified	version	file	link	comment
phs001394	2018-01-03	1	phs001394.v1.pht006949.v1.p1.GUARDIAN_HTN_IR_Subject_Phenotypes.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001394/phs001394.v1.p1/pheno_variable_summaries/phs001394.v1.pht006949.v1.p1.GUARDIAN_HTN_IR_Subject_Phenotypes.var_report.xml	This subject phenotype table contains subject IDs, age, BMI, metabolic clearance rate of insulin, M normalized by surface area/steady state plasma insulin, ethnicity, and sex.
phs001397	2018-01-03	1	phs001397.v1.pht006954.v1.p1.GUARDIAN_MACAD_Subject_Phenotypes.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001397/phs001397.v1.p1/pheno_variable_summaries/phs001397.v1.pht006954.v1.p1.GUARDIAN_MACAD_Subject_Phenotypes.var_report.xml	This subject phenotype table contains subject IDs, age, BMI, metabolic clearance rate of insulin (MCRI), M normalized by surface area/steady state plasma insulin, ethnicity, and sex.
phs001397	2018-01-03	1	phs001397.v1.pht006951.v1.p1.GUARDIAN_MACAD_Subject.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001397/phs001397.v1.p1/pheno_variable_summaries/phs001397.v1.pht006951.v1.p1.GUARDIAN_MACAD_Subject.var_report.xml	The subject consent file includes subject IDs, consent information, and subject source.
phs001394	2018-01-03	1	phs001394.v1.pht006950.v1.p1.GUARDIAN_HTN_IR_Sample_Attributes.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001394/phs001394.v1.p1/pheno_variable_summaries/phs001394.v1.pht006950.v1.p1.GUARDIAN_HTN_IR_Sample_Attributes.var_report.xml	This sample attributes table contains sample IDs, analyte type, and name of the center which conducted genotyping.
phs001397	2018-01-03	1	phs001397.v1.pht006953.v1.p1.GUARDIAN_MACAD_Sample.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001397/phs001397.v1.p1/pheno_variable_summaries/phs001397.v1.pht006953.v1.p1.GUARDIAN_MACAD_Sample.var_report.xml	This data table contains a mapping of study subject IDs to sample IDs. Samples are the final preps submitted for genotyping, sequencing, and/or expression data. For example, if one patient (subject ID) gave one sample, and that sample was processed differently to generate 2 sequencing runs, there would be two rows, both using the same subject ID, but having 2 unique sample IDs. The data table also includes sample source and sample use.
phs001394	2018-01-03	1	phs001394.v1.pht006947.v1.p1.GUARDIAN_HTN_IR_Pedigree.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001394/phs001394.v1.p1/pheno_variable_summaries/phs001394.v1.pht006947.v1.p1.GUARDIAN_HTN_IR_Pedigree.var_report.xml	The subject pedigree table contains family ID, subject ID, mother ID, father ID, and sex.
phs001394	2018-01-03	1	phs001394.v1.pht006948.v1.p1.GUARDIAN_HTN_IR_Sample.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001394/phs001394.v1.p1/pheno_variable_summaries/phs001394.v1.pht006948.v1.p1.GUARDIAN_HTN_IR_Sample.var_report.xml	This data table contains a mapping of study subject IDs to sample IDs. Samples are the final preps submitted for genotyping, sequencing, and/or expression data. For example, if one patient (subject ID) gave one sample, and that sample was processed differently to generate 2 sequencing runs, there would be two rows, both using the same subject ID, but having 2 unique sample IDs. The data table also includes sample source and sample use.
phs001394	2018-01-03	1	phs001394.v1.pht006946.v1.p1.GUARDIAN_HTN_IR_Subject.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001394/phs001394.v1.p1/pheno_variable_summaries/phs001394.v1.pht006946.v1.p1.GUARDIAN_HTN_IR_Subject.var_report.xml	The subject consent file includes subject IDs, consent information, and subject source.
phs001397	2018-01-03	1	phs001397.v1.pht006955.v1.p1.GUARDIAN_MACAD_Sample_Attributes.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001397/phs001397.v1.p1/pheno_variable_summaries/phs001397.v1.pht006955.v1.p1.GUARDIAN_MACAD_Sample_Attributes.var_report.xml	This sample attributes table contains sample IDs, analyte type, and name of the center which conducted genotyping.
phs001397	2018-01-03	1	phs001397.v1.pht006952.v1.p1.GUARDIAN_MACAD_Pedigree.var_report.xml	ftp://ftp.ncbi.nlm.nih.gov/dbgap/studies/phs001397/phs001397.v1.p1/pheno_variable_summaries/phs001397.v1.pht006952.v1.p1.GUARDIAN_MACAD_Pedigree.var_report.xml	The subject pedigree table contains family ID, subject ID, mother ID, father ID, and sex.
