study_id,dbgap_id,male,female,unknown
48,phs000048.v1.p1,872,678,0
90,phs000090.v1.p1,5995,7254,0
92,phs000092.v1.p1,3898,4587,130
94,phs000094.v1.p1,7880,7254,874
102,phs000102.v1.p1,248,237,0
293,phs000140.v1.p1,892,1250,0
295,phs000142.v1.p1,635,2489,1445
296,phs000017.v3.p1,1505,1756,0
298,phs000144.v1.p1,330,432,6
313,phs000020.v2.p1,1291,2449,1
411,phs000167.v1.p1,1835,1226,0
529,phs000181.v1.p1,3419,3665,3886
537,phs000187.v1.p1,1920,1391,100
538,phs000188.v1.p1,1283,1920,0
661,phs000199.v1.p1,922,1104,0
664,phs000202.v1.p1,0,297,0
665,phs000203.v1.p1,2123,1309,45
667,phs000091.v2.p1,2663,3425,36
669,phs000166.v2.p1,2164,1882,604
671,phs000207.v1.p1,2300,0,0
676,phs000211.v1.p1,167,233,0
802,phs000219.v1.p1,619,969,130
803,phs000093.v2.p2,8241,3096,32
808,phs000223.v1.p1,1298,2127,318
814,phs000016.v2.p2,1718,1040,11
948,phs000238.v1.p1,2477,2933,6
950,phs000240.v1.p1,500,631,6
1078,phs000244.v1.p1,5,3,0
1079,phs000245.v1.p1,0,4,0
1087,phs000089.v3.p2,896,845,0
1088,phs000250.v1.p1,196,155,0
1099,phs000138.v2.p1,33,1557,1495
1103,phs000263.v1.p1,64,84,17
1109,phs000268.v1.p1,86,98,0
1110,phs000269.v1.p1,381,332,3
1240,phs000272.v1.p1,1413,1080,0
1241,phs000273.v1.p1,16,9,0
1243,phs000275.v1.p1,235,689,0
1259,phs000290.v1.p1,16,78,2
1264,phs000293.v1.p1,755,1318,434
1265,phs000294.v1.p1,4620,1422,0
1266,phs000239.v2.p1,4,12,0
1267,phs000128.v3.p3,3222,3874,10300
1277,phs000302.v1.p1,200,150,0
1408,phs000303.v1.p1,973,983,111
1410,phs000127.v2.p1,231,201,0
1415,phs000308.v1.p1,903,1340,104
1422,phs000310.v1.p1,28,0,0
1423,phs000311.v1.p1,8,0,0
1426,phs000021.v3.p2,2786,2278,0
1572,phs000327.v1.p1,58,36,0
1576,phs000330.v1.p1,14,0,0
1586,phs000337.v1.p1,116,68,0
1588,phs000258.v2.p1,212,387,0
1602,phs000344.v1.p1,301,595,0
1603,phs000345.v1.p1,545,483,0
1607,phs000347.v1.p1,19,10,0
1613,phs000351.v1.p1,3661,1248,0
1614,phs000352.v1.p1,43,50,0
1615,phs000353.v1.p1,773,1430,2944
1616,phs000354.v1.p1,1,11,0
1629,phs000362.v1.p1,9,3,0
1635,phs000289.v2.p1,1360,1400,5
1638,phs000365.v1.p1,4,2,1
1640,phs000367.v1.p1,341,389,5
1641,phs000368.v1.p1,48,8238,90
1642,phs000369.v1.p1,0,216,0
1645,phs000372.v1.p1,2595,3470,0
1646,phs000373.v1.p1,5208,66,0
1647,phs000374.v1.p1,8,6,4
1649,phs000376.v1.p1,23,21,33
1651,phs000378.v1.p1,459,843,0
1653,phs000380.v1.p1,199,783,0
1654,phs000381.v1.p1,762,502,0
1657,phs000383.v1.p1,87,3914,0
1660,phs000384.v1.p1,9,9,0
1661,phs000385.v1.p1,56,48,0
1664,phs000387.v1.p1,740,203,0
1667,phs000390.v1.p1,408,1209,0
1668,phs000391.v1.p1,332,334,0
1672,phs000394.v1.p1,675,369,0
1676,phs000398.v1.p1,234,361,0
1678,phs000400.v1.p1,5,20,0
1686,phs000404.v1.p1,1495,2069,151
1687,phs000096.v4.p1,2287,7052,5988
1688,phs000405.v1.p1,6,7,0
1691,phs000408.v1.p1,180,826,0
1694,phs000364.v2.p1,37,23,1
1696,phs000409.v1.p1,219,87,3
1709,phs000419.v1.p1,0,1,0
1713,phs000421.v1.p1,1774,3008,767
1714,phs000422.v1.p1,67,124,0
1734,phs000434.v1.p1,4,4,0
1742,phs000438.v1.p1,342,380,0
1744,phs000440.v1.p1,417,551,407
1747,phs000442.v1.p1,53,38,0
1748,phs000443.v1.p1,144,0,0
1753,phs000001.v3.p1,3002,3954,1001
1754,phs000445.v1.p1,18,3,0
1756,phs000447.v1.p1,624,0,0
1767,phs000454.v1.p1,2888,996,0
1769,phs000456.v1.p1,1455,1177,134
1773,phs000460.v1.p1,553,1129,0
1795,phs000475.v1.p1,1,0,0
1796,phs000476.v1.p1,10,10,0
1797,phs000477.v1.p1,16,15,0
1798,phs000478.v1.p1,7,6,0
1799,phs000479.v1.p1,2,1,0
1800,phs000480.v1.p1,0,129,238
1805,phs000482.v1.p1,350,267,0
1807,phs000484.v1.p1,5,2,0
1808,phs000485.v1.p1,4,0,0
1809,phs000486.v1.p1,3622,6868,2919
1810,phs000168.v2.p2,2110,3462,4163
1816,phs000490.v1.p1,3929,3501,0
1823,phs000494.v1.p1,2543,2019,0
1838,phs000291.v2.p1,214,123,0
1844,phs000500.v1.p1,4,4,0
1864,phs000510.v1.p1,47,3731,0
1865,phs000511.v1.p1,37,11,0
1867,phs000512.v1.p1,59,38,0
1873,phs000449.v2.p1,115,52,5
1874,phs000518.v1.p1,7,17,0
1875,phs000519.v1.p1,2001,2078,0
1879,phs000170.v2.p1,1681,2367,7072
1880,phs000523.v1.p1,0,1799,0
1881,phs000524.v1.p1,1986,1612,0
1895,phs000537.v1.p1,2,2,0
1896,phs000538.v1.p1,2,4,0
1897,phs000539.v1.p1,3,5,0
1898,phs000540.v1.p1,5,3,0
1899,phs000541.v1.p1,2,5,0
1900,phs000542.v1.p1,2,2,0
1901,phs000543.v1.p1,14,16,0
1906,phs000545.v1.p1,482,282,0
1907,phs000546.v1.p1,40,35,0
1908,phs000547.v1.p1,37,35,3642
1916,phs000549.v1.p1,2,10,0
1917,phs000550.v1.p1,5,3,1
1918,phs000551.v1.p1,413,225,0
1920,phs000341.v2.p1,241,138,3
1922,phs000553.v1.p1,2,4,1
1923,phs000554.v1.p1,120,0,0
1924,phs000413.v2.p1,43,42,0
1925,phs000254.v2.p1,217,214,0
1928,phs000279.v2.p1,405,322,0
1931,phs000558.v1.p1,91,84,0
1934,phs000559.v1.p1,7878,6600,778
1951,phs000561.v1.p1,6,5,0
1952,phs000562.v1.p1,44,13,16
1953,phs000563.v1.p1,3,7,0
1957,phs000565.v1.p1,121,71,0
1973,phs000567.v1.p1,13,13,0
1980,phs000568.v1.p1,16,18,0
1989,phs000276.v2.p1,5203,5712,16
1991,phs000573.v1.p1,67,44,17
1992,phs000574.v1.p1,0,0,1020
1994,phs000576.v1.p1,0,0,245
1995,phs000577.v1.p1,0,0,542
1997,phs000578.v1.p1,0,0,95
