"","dbgap_study_id","male","female","total","date_study","repository"
"1","phs000219.v1.pht001093.v1.p1",661,1053,1714,"01/19/2010","dbgap"
"2","phs000888.v1.pht005555.v1.p1",2013,1969,3982,"08/12/2016","dbgap"
"3","phs000280.v7.pht004047.v5.p1",270,236,506,"2020/06/18","dbgap"
"4","phs000280.v7.pht004192.v2.p1",6784,8155,14939,"2020/06/18","dbgap"
"5","phs000390.v1.pht002327.v1.p1",408,1209,1617,"04/20/2012","dbgap"
"9","phs002067.v1.pht010409.v1.p1",38,27,65,"2020/10/21","dbgap"
"10","phs000933.v2.pht004776.v2.p1",169,121,290,"2018/03/09","dbgap"
"11","phs001572.v1.pht007842.v1.p1",195,117,312,"2018/04/20","dbgap"
"12","phs001328.v1.pht006311.v1.p1",52,36,88,"05/17/2017","dbgap"
"13","phs001279.v1.pht007207.v1.p1",15,23,38,"2017/12/08","dbgap"
"14","phs000722.v2.pht003900.v2.p2",266,410,676,"05/01/2017","dbgap"
"15","phs001800.v2.pht008928.v2.p1",13,2,15,"2020/12/16","dbgap"
"16","phs001196.v1.pht005699.v1.p1",2788,2408,5196,"2018/04/05","dbgap"
"18","phs000662.v1.pht003559.v1.p1",299,342,641,"12/17/2013","dbgap"
"20","phs000007.v32.pht004365.v5.p13",2543,3002,5545,"2020/12/21","dbgap"
"21","phs000286.v6.pht008736.v1.p2",359,650,1009,"2019/03/11","dbgap"
"22","phs002333.v1.pht010921.v1.p1",4,4,8,"2021/02/04","dbgap"
"23","phs000280.v7.pht006442.v1.p1",6691,7950,14641,"2020/06/18","dbgap"
"24","phs000974.v4.pht004909.v3.p3",1902,2253,4155,"2019/09/26","dbgap"
"26","phs000095.v4.pht001213.v4.p2",1896,2281,4177,"2021/09/13","dbgap"
"27","phs000946.v5.pht005719.v2.p1",23,57,80,"2021/05/07","dbgap"
"28","phs002457.v1.pht011518.v1.p1",1,24,25,"2021/08/30","dbgap"
"29","phs000286.v6.pht008772.v1.p2",1295,2163,3458,"2019/03/11","dbgap"
"30","phs000251.v2.pht001262.v2.p2",65,28,93,"11/22/2013","dbgap"
"31","phs001290.v1.pht010335.v1.p1",3202,2867,6069,"2020/07/29","dbgap"
"32","phs000911.v1.pht004980.v1.p1",8608,8852,17460,"05/06/2016","dbgap"
"33","phs002003.v1.pht010108.v1.p1",19,19,38,"2020/04/06","dbgap"
"34","phs001858.v1.pht009371.v1.p1",7956,9127,17083,"2019/10/25","dbgap"
"35","phs001917.v1.pht009548.v1.p1",454,370,824,"2019/10/22","dbgap"
"36","phs000701.v1.pht005508.v1.p1",37,30,67,"06/01/2017","dbgap"
"37","phs002212.v1.pht010983.v1.p1",16,2,18,"2021/02/22","dbgap"
"39","phs001554.v1.pht007608.v1.p1",1075,1817,2892,"2018/03/09","dbgap"
"40","phs001381.v1.pht006569.v1.p1",352,315,667,"06/19/2017","dbgap"
"41","phs000086.v3.pht000258.v1.p1",191,163,354,"11/04/2014","dbgap"
"42","phs000691.v2.pht003652.v2.p1",291,197,488,"03/11/2015","dbgap"
"43","phs000126.v2.pht005717.v1.p1",1005,985,1990,"08/29/2016","dbgap"
"44","phs001065.v1.pht005434.v1.p1",296,313,609,"05/24/2016","dbgap"
"45","phs001823.v1.pht009056.v1.p1",169,92,261,"2019/08/07","dbgap"
"46","phs001761.v1.pht009028.v1.p1",34,120,154,"2019/05/16","dbgap"
"47","phs001309.v1.pht007912.v1.p1",51,54,105,"2018/05/15","dbgap"
"48","phs001065.v1.pht005401.v1.p1",296,313,609,"05/24/2016","dbgap"
"49","phs000715.v1.pht003744.v1.p1",15,17,32,"03/13/2014","dbgap"
"50","phs000171.v1.pht000755.v1.p1",164,317,481,"12/11/2009","dbgap"
"51","phs000444.v1.pht002701.v1.p1",484,829,1313,"04/19/2012","dbgap"
"52","phs002319.v1.pht010925.v1.p1",716,813,1529,"2021/02/05","dbgap"
"53","phs001771.v1.pht008717.v1.p1",163,280,443,"2021/02/12","dbgap"
"54","phs000756.v1.pht007371.v1.p1",4392,4943,9335,"2018/12/27","dbgap"
"55","phs001348.v2.pht006233.v2.p1",24,21,45,"2017/09/25","dbgap"
"56","phs001342.v1.pht008051.v1.p1",30,16,46,"2018/06/01","dbgap"
"57","phs000219.v1.pht001102.v1.p1",664,1054,1718,"01/19/2010","dbgap"
"58","phs001252.v1.pht006402.v1.p1",1505,990,2495,"05/16/2017","dbgap"
"61","phs001661.v3.pht010558.v2.p1",2791,2673,5464,"2021/08/17","dbgap"
"62","phs001601.v2.pht010664.v2.p2",1271,939,2210,"2021/07/19","dbgap"
"63","phs001230.v1.pht009240.v1.p1",1164,1116,2280,"2019/07/19","dbgap"
"64","phs000983.v1.pht005006.v1.p1",93,419,512,"10/05/2015","dbgap"
"66","phs001245.v1.pht005932.v1.p1",3,2,5,"2018/01/29","dbgap"
"67","phs001318.v1.pht008017.v1.p1",27,13,40,"2018/05/31","dbgap"
"68","phs000998.v2.pht005055.v2.p1",14,20,34,"2020/08/26","dbgap"
"69","phs001787.v1.pht009046.v1.p1",23,28,51,"2020/06/18","dbgap"
"70","phs001594.v1.pht008144.v1.p1",15,23,38,"2018/06/18","dbgap"
"71","phs001814.v1.pht009004.v1.p1",149,130,279,"2019/06/03","dbgap"
"72","phs001848.v1.pht009204.v1.p1",1,2,3,"2019/06/24","dbgap"
"73","phs001852.v1.pht009275.v1.p1",225,192,417,"2019/07/26","dbgap"
"74","phs000404.v1.pht002366.v1.p1",81,88,169,"12/13/2011","dbgap"
"75","phs000128.v3.pht000503.v2.p3",2943,3500,6443,"04/29/2016","dbgap"
"76","phs000713.v1.pht004272.v1.p1",328,380,708,"10/16/2014","dbgap"
"77","phs000742.v1.pht008107.v1.p1",1497,1789,3286,"2018/07/23","dbgap"
"78","phs001407.v1.pht006665.v1.p1",1,10,11,"2017/08/25","dbgap"
"79","phs000574.v1.pht005870.v1.p1",41,938,979,"03/06/2017","dbgap"
"80","phs000285.v3.pht001752.v2.p2",45,63,108,"08/20/2013","dbgap"
"81","phs000209.v13.pht004323.v1.p3",2677,2924,5601,"11/05/2014","dbgap"
"82","phs001410.v1.pht008424.v1.p1",106,194,300,"2018/09/26","dbgap"
"83","phs001758.v1.pht008610.v1.p1",2,8,10,"2018/12/31","dbgap"
"84","phs001490.v1.pht008137.v1.p1",1065,1522,2587,"2018/06/13","dbgap"
