,dbgap_stable_id,male,female,unkown,total,repository,not_avai
0,./data/phs000219.v1.pht001093.v1.p1.d_mme_trans.var_report_2010_01_19.xml,661,1053,2850,2863,dbgap,NA
1,./data/phs000888.v1.pht005555.v1.p1.04aADHD_hx_visits.var_report.xml,2013,1969,0,96067,dbgap,NA
2,./data/phs000280.v7.pht004047.v5.p1.CCORPS16.var_report.xml,270,236,507,507,dbgap,NA
3,./data/phs000280.v7.pht004192.v2.p1.SBPA02.var_report.xml,6784,8155,14498,14939,dbgap,NA
4,./data/phs000390.v1.pht002327.v1.p1.Female_Osteoporosis_Risk_Genes_Subject_Phenotypes.var_report.xml,408,1209,362,1617,dbgap,NA
5,./data/phs002065.v1.pht010770.v1.p1.Genitourinary_Cancers_Sample.var_report.xml,NA,NA,0,18,dbgap,NA
6,./data/phs001336.v1.pht006206.v1.p1.ECLS_HCT_GVHD_Subject_Phenotypes.var_report.xml,NA,1,0,1,dbgap,NA
7,./data/phs002007.v1.pht010434.v1.p1.Innate_Tcells_GEO.var_report.xml,NA,NA,0,80,dbgap,NA
8,./data/phs002067.v1.pht010409.v1.p1.TLE_Sample.var_report.xml,38,27,0,66,dbgap,NA
9,./data/phs000933.v2.pht004776.v2.p1.Melanoma_WES_Subject_Phenotypes.var_report.xml,169,121,0,290,dbgap,NA
10,./data/phs001572.v1.pht007842.v1.p1.PD_1_Immunotherapy_Sample_Attributes.var_report.xml,195,117,0,624,dbgap,NA
11,./data/phs001328.v1.pht006311.v1.p1.treatment_history.var_report.xml,52,36,133,133,dbgap,NA
12,./data/phs001279.v1.pht007207.v1.p1.demographics_and_referral.var_report.xml,15,23,38,38,dbgap,NA
13,./data/phs000722.v2.pht003900.v2.p2.Colon_CIP_Sample_Attributes.var_report.xml,266,410,0,1369,dbgap,NA
14,./data/phs001800.v2.pht008928.v2.p1.Pediatric_RMC_Sample_Attributes.var_report.xml,13,2,0,30,dbgap,NA
15,./data/phs001196.v1.pht005699.v1.p1.Schizophrenia_Trios_Taiwanese_Pedigree.var_report.xml,2788,2408,0,5196,dbgap,NA
16,./data/phs000299.v2.pht001881.v2.p1.Genentech_NSCLC_GEO.var_report.xml,NA,NA,0,21,dbgap,NA
17,./data/phs000662.v1.pht003559.v1.p1.NCS_AIM_Sample.var_report.xml,299,342,0,641,dbgap,NA
18,./data/phs000200.v9.pht001516.v3.p3.f151_rel1.var_report.xml,NA,38739,113048,134138,dbgap,NA
19,./data/phs000007.v32.pht004365.v5.p13.t_mrbrwmh_2017_a_1188s.var_report.xml,2543,3002,10080,10308,dbgap,NA
20,./data/phs000286.v6.pht008736.v1.p2.asn0095.var_report.xml,359,650,803,1130,dbgap,NA
21,./data/phs002333.v1.pht010921.v1.p1.Chronic_Rhinosinusitis_Subject_Phenotypes.var_report.xml,4,4,0,8,dbgap,NA
22,./data/phs000280.v7.pht006442.v1.p1.incafps11.var_report.xml,6691,7950,187,14647,dbgap,NA
23,./data/phs000974.v4.pht004909.v3.p3.TOPMed_WGS_FHS_Subject.var_report.xml,1902,2253,0,4155,dbgap,NA
24,./data/phs002342.v1.pht011004.v1.p1.Polyepitope_Neoantigen_DNA_Vaccines_Sample_Attributes.var_report.xml,1,NA,0,5,dbgap,NA
25,./data/phs000095.v4.pht001213.v4.p2.GENEVA_DentalCaries_Sample.var_report.xml,1896,2281,4211,4412,dbgap,NA
26,./data/phs000946.v5.pht005719.v2.p1.TOPMed_WGS_Boston_EO_COPD_Subject_Phenotypes.var_report.xml,23,57,61,80,dbgap,NA
27,./data/phs002457.v1.pht011518.v1.p1.TNBC_BrM_Sample_Attributes.var_report.xml,1,24,0,95,dbgap,NA
28,./data/phs000286.v6.pht008772.v1.p2.nbhdrecreation.var_report.xml,1295,2163,6,6985,dbgap,NA
29,./data/phs000251.v2.pht001262.v2.p2.HMP_Cutaneous_Psoriasis_Subject_Phenotypes.var_report.xml,65,28,0,93,dbgap,NA
30,./data/phs001290.v1.pht010335.v1.p1.CIDR_CRC_Survival_Sample_Attributes.var_report.xml,3202,2867,1091,6238,dbgap,NA
31,./data/phs000911.v1.pht004980.v1.p1.T1DGC_ImmunoChip_Sample_Attributes.var_report.xml,8608,8852,0,17460,dbgap,NA
32,./data/phs002003.v1.pht010108.v1.p1.Single_Cell_Atlas_Subject_Phenotypes.var_report.xml,19,19,0,38,dbgap,NA
33,./data/phs001858.v1.pht009371.v1.p1.Advanced_Cancer_Subject.var_report.xml,7956,9127,0,17152,dbgap,NA
34,./data/phs001917.v1.pht009548.v1.p1.Methylation_PC_Subject.var_report.xml,454,370,0,824,dbgap,NA
35,./data/phs000701.v1.pht005508.v1.p1.BSIQuestionnaire.var_report.xml,37,30,96,107,dbgap,NA
36,./data/phs002212.v1.pht010983.v1.p1.ZRSR2_MDS_Subject.var_report.xml,16,2,0,18,dbgap,NA
37,./data/phs000600.v1.pht003238.v1.p1.Cervical_Cancer_Sample.var_report.xml,NA,115,0,230,dbgap,NA
38,./data/phs001554.v1.pht007608.v1.p1.GECCO_CRC_Susceptibility_Sample.var_report.xml,1075,1817,1974,2892,dbgap,NA
39,./data/phs001381.v1.pht006569.v1.p1.Gut_Microbiome_Colorectal_Polyps_Sample_Attributes.var_report.xml,352,315,0,667,dbgap,NA
40,./data/phs000086.v3.pht000258.v1.p1.DCCT_f046cmb2.var_report.xml,191,163,3,572,dbgap,NA
