,n,male,female,unknown,date
8,139.0,66.0,73.0,0.0,2019/08/18
10,13530.0,6120.0,7410.0,0.0,2020/06/18
12,6443.0,2943.0,3500.0,0.0,04/29/2016
13,1006.0,514.0,480.0,12.0,2020/04/30
16,2885.0,664.0,560.0,1661.0,01/19/2010
17,62.0,26.0,36.0,0.0,2020/03/19
21,219.0,123.0,96.0,0.0,2020/03/02
22,1142.0,523.0,619.0,0.0,2018/02/27
23,388.0,187.0,201.0,0.0,05/31/2017
25,2.0,2.0,0.0,0.0,2020/11/03
26,50.0,36.0,14.0,0.0,2018/05/22
31,58.0,29.0,29.0,0.0,12/12/2014
32,6443.0,2943.0,3500.0,0.0,04/29/2016
34,1271.0,653.0,618.0,0.0,2021/07/15
35,17537.0,4.0,3.0,17530.0,2020/06/18
40,609.0,296.0,313.0,0.0,05/24/2016
43,287.0,101.0,88.0,98.0,2020/08/26
46,94.0,94.0,0.0,0.0,01/15/2016
51,5.0,1.0,4.0,0.0,2018/04/16
56,14653.0,6653.0,8000.0,0.0,2020/06/18
57,3328.0,1344.0,1871.0,113.0,02/08/2016
60,20.0,13.0,7.0,0.0,2017/08/31
61,13.0,7.0,6.0,0.0,2021/07/07
63,3.0,3.0,0.0,0.0,2020/09/18
64,3.0,2.0,1.0,0.0,2021/03/17
65,9027.0,4331.0,4696.0,0.0,04/17/2017
66,732.0,0.0,732.0,0.0,05/05/2015
67,638.0,387.0,207.0,44.0,12/03/2013
68,53.0,6.0,11.0,36.0,2019/10/08
70,6443.0,2943.0,3500.0,0.0,04/29/2016
73,11.0,5.0,6.0,0.0,2017/12/08
76,93.0,31.0,22.0,40.0,12/20/2016
79,10.0,5.0,5.0,0.0,2021/03/22
80,385.0,2.0,207.0,176.0,2019/11/22
86,80.0,30.0,50.0,0.0,09/10/2013
87,957.0,722.0,69.0,166.0,2019/12/16
88,2936.0,12.0,3.0,2921.0,2021/10/06
89,4.0,3.0,1.0,0.0,2021/08/20
90,276.0,72.0,85.0,119.0,07/09/2015
91,6.0,5.0,1.0,0.0,2021/07/14
93,30.0,3.0,11.0,16.0,2020/05/06
95,518.0,187.0,201.0,130.0,05/31/2017
96,4474.0,1298.0,1737.0,1439.0,03/26/2015
98,900.0,312.0,588.0,0.0,03/29/2017
101,667.0,352.0,315.0,0.0,06/19/2017
102,625.0,278.0,347.0,0.0,2019/04/10
104,640.0,289.0,351.0,0.0,2021/09/29
107,5499.0,6.0,8.0,5485.0,2020/06/18
