male	max_count	median	date	n	mean	min_count	filename	nulls	mean_count	sd	female	min	other	median_count	max	study accession	primary phenotype
10.0			2018/03/30	46.0			./data/phs001108.v1.pht007713.v1.p1.demographics.var_report.xml	0.0			36.0					phs001108.v1.p1	Urea Cycle Disorders, Inborn
			2019/11/08				./data/phs001332.v2.pht007455.v2.p1.p7301_12629_eligibili.var_report.xml									phs001332.v2.p1	Spinocerebellar Ataxias
			07/10/2017				./data/phs001202.v1.pht005773.v1.p1.OncoArray_Oral_Pharynx_Cancer_Subject.var_report.xml									phs001202.v1.p1	Head and Neck Neoplasms
			2021/10/04				./data/phs001542.v2.pht009643.v2.p1.TOPMed_WGS_GALAI_Sample.var_report.xml									phs001542.v2.p1	
			2020/06/18				./data/phs000280.v7.pht004163.v2.p1.RPAC04.var_report.xml									phs000280.v7.p1	Cardiovascular Diseases
65.0	65.0		11/22/2013	93.0		28.0	./data/phs000251.v2.pht001262.v2.p2.HMP_Cutaneous_Psoriasis_Subject_Phenotypes.var_report.xml	0.0	46.5	7.071	28.0			46.5		phs000251.v2.p2	Psoriasis
			2020/12/21				./data/phs000007.v32.pht003782.v2.p13.vr_fxrev_2018_3b_1177s.var_report.xml									phs000007.v32.p13	Cardiovascular Diseases
			2018/10/22				./data/phs001666.v1.pht008464.v1.p1.Alisertib_PC_Subject.var_report.xml									phs001666.v1.p1	Adenocarcinoma
			02/06/2017				./data/phs001075.v1.pht006111.v1.p1.CSER_CanSeq_Sample_Attributes.var_report.xml									phs001075.v1.p1	Neoplasms
			09/01/2015				./data/phs000858.v1.pht004463.v1.p1.IVF_Blastocyst_Biopsies_Sample_Attributes.var_report.xml									phs000858.v1.p1	Fertilization in Vitro
			12/03/2009				./data/phs000169.v1.pht000729.v1.p1.HABC_Phenotype.var_report.xml									phs000169.v1.p1	Obesity
			05/24/2016				./data/phs001065.v1.pht005416.v1.p1.mhxchild.var_report.xml									phs001065.v1.p1	Huntington Disease
			10/21/2013				./data/phs000637.v1.pht003534.v1.p1.ALL_Methotrexate_Clearance_Subject.var_report.xml									phs000637.v1.p1	Precursor B-Cell Lymphoblastic Leukemia-Lymphoma
			2020/12/21				./data/phs000007.v32.pht000149.v7.p13.ecgdigital_18s.var_report.xml									phs000007.v32.p13	Cardiovascular Diseases
			2018/03/20				./data/phs000605.v1.pht007638.v1.p1.pulmonary_testing_form.var_report.xml									phs000605.v1.p1	Lymphangioleiomyomatosis
			03/06/2017				./data/phs000574.v1.pht005861.v1.p1.conclusionofstudyparticipation.var_report.xml									phs000574.v1.p1	Rett Syndrome
			06/12/2017				./data/phs000594.v1.pht006490.v1.p1.BMF_5402_Subject.var_report.xml									phs000594.v1.p1	Leukemia, Large Granular Lymphocytic
			2019/03/11				./data/phs000286.v6.pht001973.v2.p2.rpaa.var_report.xml									phs000286.v6.p2	Cardiovascular Diseases
			2018/04/16				./data/phs001326.v1.pht007799.v1.p1.PIDTC_6902_Subject.var_report.xml									phs001326.v1.p1	Severe Combined Immunodeficiency
			2018/07/23				./data/phs000742.v1.pht008116.v1.p1.7_9_Diagnostic_Interview_New_Small_Sz.var_report.xml									phs000742.v1.p1	Epilepsy
			2020/12/18				./data/phs002059.v1.pht010421.v1.p1.CIDR_CHD_Subject.var_report.xml									phs002059.v1.p1	Heart Defects, Congenital
			08/20/2013				./data/phs000285.v3.pht001624.v1.p2.B2F09VAS.var_report.xml									phs000285.v3.p2	Cardiovascular Diseases
			08/18/2015				./data/phs000586.v1.pht004832.v1.p1.Alopecia_Areata_Subject_Phenotypes.var_report.xml									phs000586.v1.p1	Alopecia Areata
			2017/10/04				./data/phs001270.v1.pht006249.v1.p1.SACDS_IGHNSS_Subject.var_report.xml									phs001270.v1.p1	Sleep Wake Disorders
			2017/09/06				./data/phs000554.v1.pht003194.v1.p1.CRPC_Subject.var_report.xml									phs000554.v1.p1	Prostatic Neoplasms
			2018/04/05				./data/phs001553.v1.pht007735.v1.p1.registration.var_report.xml									phs001553.v1.p1	Charcot-Marie-Tooth Disease
			07/30/2015				./data/phs000947.v1.pht004828.v1.p1.SLE_Autoantibodies_Subject_Phenotypes.var_report.xml									phs000947.v1.p1	Systemic Lupus Erythematosus
			05/16/2013				./data/phs000582.v1.pht003243.v1.p1.ESP_FamilialInterstitialPneumonia_Sample.var_report.xml									phs000582.v1.p1	Idiopathic Pulmonary Fibrosis
			05/17/2017				./data/phs001328.v1.pht006315.v1.p1.conclusionofstudyparticipation.var_report.xml									phs001328.v1.p1	Mucopolysaccharidoses
607.0	607.0		2017/09/22	765.0		563.0	./data/phs001394.v1.pht006947.v1.p1.GUARDIAN_HTN_IR_Pedigree.var_report.xml	0.0	585.0	96.87	563.0			585.0		phs001394.v1.p1	Hypertension
			2020/05/13				./data/phs002024.v1.pht010231.v1.p1.DCCT_EDIC_DNAme_Subject.var_report.xml									phs002024.v1.p1	Diabetes Mellitus, Type 1
			2018/05/31				./data/phs001318.v1.pht008023.v1.p1.pastmedicalhistory.var_report.xml									phs001318.v1.p1	Myelodysplastic Syndromes
2294.0	289.0		2020/12/21	5079.0		2294.0	./data/phs000007.v32.pht007777.v2.p13.vr_wkthru_ex32_0_0997s.var_report.xml	0.0	2540.0	99.7	289.0			2540.0		phs000007.v32.p13	Cardiovascular Diseases
			10/25/2010				./data/phs000021.v3.pht000069.v1.p2.EA_GAIN_phenotype_controls_questionnaire.var_report_2010_10_25.xml									phs000021.v3.p2	Schizophrenia
			08/12/2016				./data/phs000888.v1.pht005572.v1.p1.AMI.var_report.xml									phs000888.v1.p1	
			2020/12/21				./data/phs000007.v32.pht000671.v7.p13.il18_1_7s.var_report.xml									phs000007.v32.p13	Cardiovascular Diseases
			04/25/2014				./data/phs000587.v1.pht003517.v1.p1.ESP_Family_Studies_MLD_Subject.var_report.xml									phs000587.v1.p1	Hyperlipoproteinemia Type II
			2020/08/24				./data/phs001744.v1.pht008573.v1.p1.CIDR_HCC_Sample_Attributes.var_report.xml									phs001744.v1.p1	Liver Neoplasms
			2020/12/21				./data/phs000007.v32.pht004800.v4.p13.l_cortisol_ex01_3b_0381s.var_report.xml									phs000007.v32.p13	Cardiovascular Diseases
			2021/09/29				./data/phs002506.v1.pht011540.v1.p1.Drug_Outcome_SNVs_Sample_Attributes.var_report.xml									phs002506.v1.p1	Pharmacology
			2020/12/21				./data/phs000007.v32.pht003312.v1.p13.t_echomvp_ex05_1_0753s.var_report.xml									phs000007.v32.p13	Cardiovascular Diseases
			2019/06/14				./data/phs000589.v1.pht009190.v1.p1.fu_vasculitis_meds_form.var_report.xml									phs000589.v1.p1	Takayasu Arteritis
			11/05/2014				./data/phs000209.v13.pht002194.v1.p3.MESA_AncilMesaEyeRefraction.var_report.xml									phs000209.v13.p3	Cardiovascular Diseases
			2019/11/13				./data/phs001612.v1.pht009498.v1.p1.TOPMed_WGS_CARDIA_Sample_Attributes.var_report.xml									phs001612.v1.p1	Cardiovascular Diseases
			08/25/2015				./data/phs000978.v1.pht004941.v1.p1.Malignant_GCT_Pazopanib_Subject.var_report.xml									phs000978.v1.p1	Granular Cell Tumor
			2019/12/12				./data/phs001883.v1.pht009684.v1.p1.S0800_BC_Sample_Attributes.var_report.xml									phs001883.v1.p1	Breast Neoplasms
			Wed Jan 21 13:20:40 2009				./data/phs000144.v1.pht000722.v1.p1.TSP_Subject.var_report_2009_01_22.xml									phs000144.v1.p1	Neoplasms
			2020/11/03				./data/phs002279.v1.pht010632.v1.p1.GIMs_Spermatids_Sample_Attributes.var_report.xml									phs002279.v1.p1	Germ Cells
			10/25/2016				./data/phs000371.v2.pht002987.v2.p1.Huntingtons_Disease_Sample.var_report.xml									phs000371.v2.p1	Huntington Disease
			07/27/2017				./data/phs000596.v1.pht006717.v1.p1.registration.var_report.xml									phs000596.v1.p1	Primary ciliary dyskinesia
			01/15/2016				./data/phs000909.v1.pht004876.v1.p1.NEPC_Sample_Attributes.var_report.xml									phs000909.v1.p1	Adenocarcinoma
			2017/09/06	8.0			./data/phs001261.v1.pht006114.v1.p1.Palindromic_Gene_Amplification_Subject_Phenotypes.var_report.xml	0.0			8.0					phs001261.v1.p1	Breast Neoplasms
			2020/12/21				./data/phs000007.v32.pht006019.v1.p13.vr_meds_ex03_7_0535s.var_report.xml									phs000007.v32.p13	Cardiovascular Diseases
			2019/02/21				./data/phs001281.v2.pht006124.v2.p1.BVMC_6204_Subject.var_report.xml									phs001281.v2.p1	Sturge-Weber Syndrome
			2019/12/16				./data/phs001932.v1.pht009654.v1.p1.MGS_European_Subject.var_report.xml									phs001932.v1.p1	Schizophrenia
			11/08/2013				./data/phs000200.v9.pht003401.v1.p3.outc_bc_rel4.var_report.xml									phs000200.v9.p3	Women&#39;s Health
