subject_male,filename,max_count,min,mean_count,max,n,male,other,sample_min,date,subject_n,sample_max,min_count,sample_n,sample_female,median_count,mean,sample_median,female,sample_nulls,nulls,sample_male,subject_female,subject_max,sd,subject_median,median,subject_min,subject_nulls
,./data/phs001715.v1.pht008840.v1.p1.VCRC_5515_Subject.var_report.xml,,,,,,,,,2019/03/20,,,,,,,,,,,,,,,,,,,
,./data/phs000007.v32.pht002350.v6.p13.vr_ffreq_ex08_1_0615s.var_report.xml,,,,,,,,,2020/12/21,,,,,,,,,,,,,,,,,,,
928,./data/phs001298.v1.pht008648.v1.p1.Psoriasis_European_Subject_Phenotypes.var_report.xml,927,,899.7,,915,928,,,2019/01/29,915,,862,,,920,,,927,,0,,927,,777.7,,,,0
,./data/phs000257.v3.pht001248.v3.p1.HMP_Gut_Crohns_Function_Subject.var_report.xml,,,,,,,,,2018/09/19,,,,,,,,,,,,,,,,,,,
,./data/phs000353.v1.pht002250.v1.p1.Preterm_Birth_AA_Sample.var_report.xml,,,,,,,,,08/08/2011,,,,,,,,,,,,,,,,,,,
,./data/phs000171.v1.pht000757.v1.p1.MS_DATA_FAMSMOB.var_report_2009_12_11.xml,,,,,,,,,12/11/2009,,,,,,,,,,,,,,,,,,,
,./data/phs001415.v1.pht006687.v1.p1.CIDR_GECCO_CRC_Sample_Attributes.var_report.xml,,,,,,,,,2019/03/25,,,,969,993,,,,,0,,893,,,,,,,
,./data/phs000285.v3.pht001610.v2.p2.B2F09LIV.var_report.xml,,,,,,,,,08/20/2013,,,,,,,,,,,,,,,,,,,
66,./data/phs001201.v2.pht008325.v1.p1.RSVClinicalVariablesSeverity.var_report.xml,,,,,,,,,2019/08/18,139,,,,,,,,,,,,73,,,,,,0
,./data/phs000442.v1.pht002488.v1.p1.Resistant_Hypertension_AA_Sample.var_report.xml,,,,,,,,,04/12/2012,,,,,,,,,,,,,,,,,,,
6120,./data/phs000280.v7.pht004092.v2.p1.FTRB02.var_report.xml,,,,,,,,,2020/06/18,13530,,,,,,,,,,,,7410,,,,,,0
,./data/phs000960.v2.pht004841.v1.p1.Biliary_Atresia_Subject.var_report.xml,,,,,,,,,2020/02/13,63,,,,,,,,,,,,,,,,,,0
,./data/phs000128.v3.pht000598.v2.p3.simphen199.var_report.xml,3500,,3222,,6443,2943,,,04/29/2016,,,2943,,,3222,,,3500,,0,,,,393.9,,,,
,./data/phs001517.v2.pht007483.v2.p2.GHIRD_Sample_Attributes.var_report.xml,,,,,,,,,2020/04/30,,,,1006,480,,,,,0,,514,,,,,,,
,./data/phs000007.v32.pht000110.v9.p13.sawin1_3s.var_report.xml,,,,,,,,,2020/12/21,,,,,,,,,,,,,,,,,,,
,./data/phs000902.v1.pht004668.v1.p1.MIGen_Regicor_Subject.var_report.xml,,,,,,,,,01/20/2016,,,,,,,,,,,,,,,,,,,
,./data/phs000219.v1.pht001065.v1.p1.d_csa02.var_report_2010_01_19.xml,904,,764.5,,2885,664,,,01/19/2010,,,625,,,764.5,,,560,,0,,,,475.9,,,,
26,./data/phs001982.v1.pht010003.v1.p1.MFS_UPS_Subject.var_report.xml,,,,,,,,,2020/03/19,62,,,,,,,,,,,,36,,,,,,0
,./data/phs001083.v1.pht005324.v1.p1.SCLC_Chinese_Sample.var_report.xml,,,,,,,,,03/07/2016,99,,,99,,,,,,0,,,,,,,,,0
,./data/phs000401.v1.pht002475.v1.p1.ESP_FHS_LDLandEOMI_Sample.var_report.xml,,,,,,,,,03/01/2012,,,,,,,,,,,,,,,,,,,
,./data/phs000285.v3.pht001585.v2.p2.A4F25.var_report.xml,,,,,,,,,08/20/2013,,,,,,,,,,,,,,,,,,,
123,./data/phs001900.v1.pht009630.v1.p1.ASD_SCZ_Development_Subject.var_report.xml,,,,,,,,,2020/03/02,219,,,,,,,,,,,,96,,,,,,0
