"ega_stable_id"	"created_at"
"EGAS00001002783"	"2/1/2018 09:01:54.748347"
"EGAS00001002784"	"3/1/2018 10:48:55.250367"
"EGAS00001002786"	"5/1/2018 11:37:13.41305"
"EGAS00001002787"	"6/1/2018 13:46:44.783244"
"EGAS00001002788"	"9/1/2018 04:51:14.626805"
"EGAS00001002789"	"10/1/2018 05:06:13.711135"
"EGAS00001002793"	"11/1/2018 05:02:39.71993"
"EGAS00001002790"	"11/1/2018 05:02:39.71993"
"EGAS00001002791"	"11/1/2018 05:02:39.71993"
"EGAS00001002792"	"11/1/2018 05:02:39.71993"
"EGAS00001002796"	"12/1/2018 04:51:56.505376"
"EGAS00001002795"	"12/1/2018 04:51:56.505376"
"EGAS00001002798"	"16/1/2018 04:54:12.848373"
"EGAS00001002801"	"17/1/2018 04:58:59.418817"
"EGAS00001002802"	"17/1/2018 04:58:59.418817"
"EGAS00001002803"	"19/1/2018 09:34:53.81658"
"EGAS00001002805"	"20/1/2018 09:52:34.210926"
"EGAS00001002806"	"20/1/2018 09:52:34.210926"
"EGAS00001002804"	"20/1/2018 09:52:34.210926"
"EGAS00001002807"	"20/1/2018 09:52:34.210926"
"EGAS00001002809"	"24/1/2018 04:50:19.915369"
"EGAS00001002812"	"24/1/2018 04:50:19.915369"
"EGAS00001002811"	"24/1/2018 04:50:19.915369"
"EGAS00001002814"	"25/1/2018 07:55:53.887294"
"EGAS00001002816"	"26/1/2018 05:29:11.491924"
"EGAS00001002818"	"27/1/2018 05:31:01.549108"
"EGAS00001002819"	"27/1/2018 05:31:01.549108"
"EGAS00001002820"	"28/1/2018 05:33:14.530776"
"EGAS00001002825"	"30/1/2018 04:24:26.943423"
"EGAS00001002822"	"30/1/2018 04:24:26.943423"
"EGAS00001002823"	"30/1/2018 04:24:26.943423"
"EGAS00001002826"	"2/2/2018 05:40:21.611686"
"EGAS00001002827"	"2/2/2018 05:40:21.611686"
"EGAS00001002830"	"6/2/2018 05:51:03.249029"
"EGAS00001002831"	"7/2/2018 05:29:30.365926"
"EGAS00001002832"	"7/2/2018 05:29:30.365926"
"EGAS00001002833"	"7/2/2018 05:29:30.365926"
"EGAS00001002836"	"8/2/2018 05:42:40.375553"
"EGAS00001002839"	"8/2/2018 05:42:40.375553"
"EGAS00001002840"	"9/2/2018 05:39:05.332963"
"EGAS00001002842"	"9/2/2018 05:39:05.332963"
"EGAS00001002843"	"12/2/2018 10:09:20.951482"
"EGAS00001002844"	"12/2/2018 10:09:20.951482"
"EGAS00001002845"	"13/2/2018 11:49:12.192672"
"EGAS00001002846"	"13/2/2018 11:49:12.192672"
"EGAS00001002847"	"14/2/2018 08:16:00.189333"
"EGAS00001002850"	"19/2/2018 11:04:01.527711"
"EGAS00001002851"	"19/2/2018 11:04:01.527711"
"EGAS00001002856"	"19/2/2018 11:04:01.527711"
"EGAS00001002854"	"19/2/2018 11:04:01.527711"
"EGAS00001002859"	"19/2/2018 11:04:01.527711"
"EGAS00001002853"	"19/2/2018 11:04:01.527711"
"EGAS00001002858"	"19/2/2018 11:04:01.527711"
"EGAS00001002852"	"19/2/2018 11:04:01.527711"
"EGAS00001002860"	"20/2/2018 05:41:15.665845"
"EGAS00001002864"	"21/2/2018 05:36:37.27405"
"EGAS00001002863"	"21/2/2018 05:36:37.27405"
"EGAS00001002861"	"21/2/2018 05:36:37.27405"
"EGAS00001002865"	"22/2/2018 05:36:44.628892"
"EGAS00001002869"	"22/2/2018 05:36:44.628892"
"EGAS00001002866"	"22/2/2018 05:36:44.628892"
"EGAS00001002871"	"23/2/2018 07:38:02.875489"
"EGAS00001002873"	"24/2/2018 05:33:49.290621"
"EGAS00001002872"	"24/2/2018 05:33:49.290621"
"EGAS00001002874"	"24/2/2018 05:33:49.290621"
"EGAS00001002875"	"25/2/2018 05:24:14.300994"
"EGAS00001002877"	"28/2/2018 05:33:31.430859"
"EGAS00001002876"	"28/2/2018 05:33:31.430859"
"EGAS00001002879"	"1/3/2018 05:31:00.495864"
"EGAS00001002882"	"2/3/2018 05:28:05.08916"
"EGAS00001002891"	"3/3/2018 05:27:25.205551"
"EGAS00001002886"	"3/3/2018 05:27:25.205551"
"EGAS00001002892"	"3/3/2018 05:27:25.205551"
"EGAS00001002889"	"3/3/2018 05:27:25.205551"
"EGAS00001002888"	"3/3/2018 05:27:25.205551"
"EGAS00001002884"	"3/3/2018 05:27:25.205551"
"EGAS00001002885"	"3/3/2018 05:27:25.205551"
"EGAS00001002895"	"8/3/2018 14:35:21.658556"
"EGAS00001002896"	"8/3/2018 14:35:21.658556"
"EGAS00001002894"	"8/3/2018 14:35:21.658556"
"EGAS00001002893"	"8/3/2018 14:35:21.658556"
"EGAS00001002898"	"9/3/2018 15:05:39.923405"
"EGAS00001002899"	"9/3/2018 15:05:39.923405"
"EGAS00001002897"	"9/3/2018 15:05:39.923405"
"EGAS00001002901"	"9/3/2018 15:05:39.923405"
"EGAS00001002903"	"11/3/2018 06:02:57.992633"
"EGAS00001002908"	"14/3/2018 06:15:18.938762"
"EGAS00001002910"	"14/3/2018 06:15:18.938762"
"EGAS00001002915"	"15/3/2018 07:47:25.971936"
"EGAS00001002911"	"15/3/2018 07:47:25.971936"
"EGAS00001002917"	"20/3/2018 05:59:42.857998"
"EGAS00001002919"	"21/3/2018 05:40:37.865218"
"EGAS00001002921"	"21/3/2018 05:40:37.865218"
"EGAS00001002920"	"21/3/2018 05:40:37.865218"
"EGAS00001002922"	"22/3/2018 06:37:55.058973"
"EGAS00001002923"	"23/3/2018 05:50:50.545907"
"EGAS00001002928"	"24/3/2018 05:38:05.681482"
"EGAS00001002927"	"24/3/2018 05:38:05.681482"
"EGAS00001002926"	"24/3/2018 05:38:05.681482"
