"ega_stable_id";"male";"female";"unknown";"total";"date_study";"repository"
"EGAS00001001501";"1";"1";"0";"2";"1980-01-01";"EGA"
"EGAS00001001608";"8";"32";"1";"41";"1980-01-01";"EGA"
"EGAS00001001585";"0";"0";"72";"72";"1980-01-01";"EGA"
"EGAS00000000092";"0";"0";"284";"284";"1980-01-01";"EGA"
"EGAS00001001573";"14";"6";"0";"20";"1980-01-01";"EGA"
"EGAS00001001590";"47";"48";"0";"95";"1980-01-01";"EGA"
"EGAS00001001597";"22";"47";"6771";"6840";"1980-01-01";"EGA"
"EGAS00001001601";"14";"4";"0";"18";"1980-01-01";"EGA"
"EGAS00001001595";"8";"0";"0";"8";"1980-01-01";"EGA"
"EGAS00001001540";"0";"0";"381";"381";"1980-01-01";"EGA"
"EGAS00001001487";"0";"0";"208";"208";"1980-01-01";"EGA"
"EGAS00001001569";"0";"61";"0";"61";"1980-01-01";"EGA"
"EGAS00001001537";"59";"37";"0";"96";"1980-01-01";"EGA"
"EGAS00000000029";"0";"0";"11";"11";"1980-01-01";"EGA"
"EGAS00001001605";"28";"30";"0";"58";"1980-01-01";"EGA"
"EGAS00001001596";"414";"243";"11";"668";"1980-01-01";"EGA"
"EGAS00001001607";"196";"153";"188";"537";"1980-01-01";"EGA"
"EGAS00001001606";"744";"1194";"116";"2054";"1980-01-01";"EGA"
"EGAS00001001519";"10";"2";"4";"16";"1980-01-01";"EGA"
"EGAS00001001563";"1535";"312";"26";"1873";"1980-01-01";"EGA"
"EGAS00001001539";"0";"0";"4";"4";"1980-01-01";"EGA"
"EGAS00001001568";"0";"1";"0";"1";"1980-01-01";"EGA"
"EGAS00001001591";"0";"0";"6";"6";"1980-01-01";"EGA"
"EGAS00001001520";"0";"0";"22";"22";"1980-01-01";"EGA"
"EGAS00000000122";"0";"0";"1";"1";"1980-01-01";"EGA"
"EGAS00001001588";"53";"29";"0";"82";"1980-01-01";"EGA"
"EGAS00001000001";"0";"0";"8";"8";"2010-09-03";"EGA"
"EGAS00001000002";"0";"0";"288";"288";"2010-09-08";"EGA"
"EGAS00001000003";"0";"0";"28";"28";"2010-09-15";"EGA"
"EGAS00001000004";"0";"0";"327";"327";"2010-10-13";"EGA"
"EGAS00001000005";"0";"0";"68";"68";"2010-10-15";"EGA"
