Timestamp	1. If you develop or maintain databases: How often these resources include the following variables in their data model?   [Sex]	1. If you develop or maintain databases: How often these resources include the following variables in their data model?   [Gender]	1. If you develop or maintain databases: How often these resources include the following variables in their data model?   [Age]	1. If you develop or maintain databases: How often these resources include the following variables in their data model?   [Ethnicity]	1. If you develop or maintain databases: How often these resources include the following variables in their data model?   [Race]	2. If you are a researcher: How often do you include the following variables in your datasets? [Sex]	2. If you are a researcher: How often do you include the following variables in your datasets? [Gender]	2. If you are a researcher: How often do you include the following variables in your datasets? [Age]	2. If you are a researcher: How often do you include the following variables in your datasets? [Ethnicity]	2. If you are a researcher: How often do you include the following variables in your datasets? [Race]	3. Does your interpretation of results include a intersectional analysis (sex, gender, age, ethnicity, race)? 	4. Are you familiarised with guidelines for collection sex/gender/age/race/ethnicity or recommendations of best practices in biomedical research? (e.g. DOME: https://www.nature.com/articles/s41592-021-01205-4; SAGER: https://researchintegrityjournal.biomedcentral.com/articles/10.1186/s41073-016-0007-6#ref-CR15)	5. Do you think capturing diversity (e.g., sex, gender, age, ethnicity) for biomedical research should be:	6. How relevant do you consider the diversity (e.g., sex, gender, age, ethnicity) for biomedical research in your analysis?	7.  Would you be interested in receiving training on social and ethical implications of biomedical research? 	8. Have you experienced difficulties with datasets having many missing values of diversity data due to medical data providers withdrawing (parts of) informed consent?	9. How important is educating medical data providers to help raise awareness on the importance of diversity data? 	10. The European Commission has published a Gender equality plan to opt for research fundings. Also the Gendered Innovation published a report recommending how to introduce the sex and gender dimension in biomedical research.Requirements from journal editorial policies can have a powerful benefit as well, the adoption of a requirement to publish a crystal structure in the wwPDB or sequence to the NCBI helped drive such depositing practices to standard. How important is to include diversity information in publication and funding processes? 	11. Which mechanisms should be put in place to ensure that public and private biomedical research capture diversity dimension?	12. Are you a participant in the ELIXIR BioHackathon 2021?	13. Pronouns 	14. Age 	15. Country: Place of Work	16. Profession 	17. How do you use data in your work? 	18. Work Experience 	"I accept the following privacy terms in compliance with the RGPD - General Data Protection Regulation (Regulation (EU) 2016/679 of the European Parliament of April 27, 2016 regarding the protection of natural persons with regard to treatment of personal data and the free circulation of these data and by which Directive 95/46 / CE is repealed): Your personal data are incorporated into files and treatments for which BIONFO4WOMEN PROGRAM - BARCELONA SUPERCOMPUTING CENTER is responsible, its purpose being the establishment and development of their relationship with the program, the accounting, fiscal and administrative management of the entity, allowing their participation in all kinds of activities and events that are held, sending communications by any means that they have provided us. The consent of the person interested in joining or participating in the activities of the entity is the cause of legitimacy for said treatments. These data will be kept indefinitely as long as you do not express your will to the contrary. Your data will not be transferred to any entity without your consent, except for the sessions provided by law. You can also, if your rights are not taken care of, present your claim to the Spanish Data Protection Agency. "
10/11/2021 16:02:10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	I don't know them	Mandatory	5	I don't know	1	5	Important for both	I don´t know	Yes	She/her	25-34	Spain	Researcher		< 1 year	I have read and accept the terms & conditions
10/11/2021 16:13:15	Never (1)	Always (5)	Never (1)	Never (1)	Never (1)	N/A	N/A	N/A	N/A	N/A	N/A	I don't know them	I don´t know	5	Yes (online)	1	5	Important for both	Self-assessment / Check list, International Standards, Requirements by funding bodies, Regulated bodies (e.g., FDA, EMA)	No	He/him	35-44	Germany	Project Manager	Developer, Curator, Creator	1 to 5	I have read and accept the terms & conditions
10/11/2021 16:13:45	Always (5)	Never (1)	Always (5)	Never (1)	Never (1)	Very Frequently (4)	Very Rarely (2)	Occasionally (3)	Very Rarely (2)	Very Rarely (2)	No	I don't know them	Not Mandatory	2	No	3	2	Not important	None	Yes	Prefer not to say.	25-34			Consumer, Developer, Creator	1 to 5	I have read and accept the terms & conditions
10/11/2021 16:15:14	Occasionally (3)	Never (1)	Occasionally (3)	Very Rarely (2)	Very Rarely (2)	Occasionally (3)	Never (1)	Occasionally (3)	Never (1)	Never (1)	N/A	I know them but I don't apply them	Due ethical aspects, although it should be gathered it should be protected by default	3	I don't know	4	4	The reasons behind how important is for the different parties usually collides	International Standards, Requirements by funding bodies, Regulated bodies (e.g., FDA, EMA)	Yes	He/him	45-54	Spain	Bioinformatician	Consumer, Developer	More than 15	I have read and accept the terms & conditions
10/11/2021 16:21:57	Very Frequently (4)	Very Frequently (4)	Very Frequently (4)	Never (1)	Never (1)	Very Frequently (4)	Very Frequently (4)	Occasionally (3)	Very Rarely (2)	Very Rarely (2)	Yes	I don't know them	Mandatory	5	I don't know	5	5	Important for both	International Standards, Codes of conduct	Yes	Prefer not to say.	25-34	Spain		Curator	6 to 10	I have read and accept the terms & conditions
10/11/2021 17:09:19	N/A	N/A	N/A	N/A	N/A	Very Frequently (4)	Never (1)	Very Frequently (4)	Occasionally (3)	Never (1)	Yes	I don't know them	Mandatory	5	Yes (online)	2	5	Important for both	Self-assessment / Check list, International Standards, Codes of conduct, Editorial Policy Requirements, Requirements by funding bodies	No	Prefer not to say.	35-44	United Kingdom	Bioinformatician	Consumer, Developer	More than 15	I have read and accept the terms & conditions
10/11/2021 17:27:33	Always (5)	Never (1)	Occasionally (3)	Occasionally (3)	Occasionally (3)	N/A	N/A	N/A	N/A	N/A	Yes	N/A	Mandatory	5	Yes (online)	3	5	N/A	Self-assessment / Check list, International Standards, Codes of conduct, Legal Regulation, Editorial Policy Requirements	Yes	She/her	25-34	Spain	Technician	Curator	1 to 5	I have read and accept the terms & conditions
11/11/2021 00:05:27	Occasionally (3)	Never (1)	Occasionally (3)	Occasionally (3)	Occasionally (3)	Occasionally (3)	Never (1)	Occasionally (3)	Never (1)	Very Rarely (2)	Yes	I know them and I use them	Mandatory	4	Yes (online)	2	5	Important for both	International Standards	Yes	He/him	35-44	Spain	Researcher	Developer	11 to 15	I have read and accept the terms & conditions
11/11/2021 07:47:20	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	I know them and I use them	Mandatory	4	Yes (in person)	4	5	Important for both	International Standards, Codes of conduct, Legal Regulation, Editorial Policy Requirements	Yes	She/her	25-34	Spain		Consumer	6 to 10	I have read and accept the terms & conditions
11/11/2021 09:08:16	Very Frequently (4)	Very Rarely (2)	Very Frequently (4)	Very Rarely (2)	Never (1)	Very Rarely (2)	Very Rarely (2)	Very Rarely (2)	Very Rarely (2)	Very Rarely (2)	No	I don't know them	Mandatory	4	I don't know	2	4	Important for both	International Standards	No	He/him	25-34	Spain		Developer	1 to 5	I have read and accept the terms & conditions
